一	yiaa
乙	yivv
二	eraa
十	uial
丁	dkal
丁	vgal
厂	ihap
七	qiav
卜	buld
卜	bold
八	bapn
人	rfpn
入	rupn
儿	erpv
匕	bipv
几	jipv
九	jqpv
刁	dnva
了	leal
了	lnal
刀	dcvp
力	livp
乃	ndvp
又	yzvn
三	sjae
干	gjau
于	yuau
亏	kvak
工	gsaa
土	tuua
士	uiua
才	cdup
下	xxab
寸	cyud
大	daar
大	ddar
丈	vhan
与	yuva
万	wjav
万	moav
上	uhba
小	xnlb
口	kzla
山	ujkl
巾	jbkl
千	qmpu
乞	qipv
川	irpl
亿	yirv
个	gerl
夕	xipd
久	jqdn
么	meps
么	maps
么	ycps
勺	ucbd
凡	fjjd
丸	wjld
及	jipn
广	gldi
亡	whwv
门	mfdv
丫	yabl
义	yidx
之	vidn
尸	uivp
己	jikv
已	yikv
巳	sikv
弓	gsvv
子	zila
卫	wwea
也	yevv
女	nvva
刃	rfdd
飞	fwvd
习	xivd
叉	iayd
马	mava
乡	xlvp
丰	fgsl
王	what
开	kdac
井	jkca
天	tmad
夫	fuer
元	yraw
无	wuay
无	moay
云	yyas
专	vrts
丐	gdav
扎	vafv
扎	zafv
艺	yicv
木	muur
五	wuaw
支	viuy
厅	tkid
不	buab
犬	qrdd
太	tddd
区	qukx
区	oukx
历	liil
歹	ddax
友	yzuy
尤	yzyd
匹	pike
车	ieau
车	juau
巨	jukk
牙	yagp
屯	tyav
屯	vyav
戈	geyp
比	bibb
互	huah
切	qpqd
瓦	waad
止	vilb
少	ucxp
曰	ytka
日	rika
中	vskl
贝	bwkr
冈	ghkx
内	nwkr
水	uvln
见	jmke
午	wupu
牛	nqpu
手	uzpy
气	qipv
毛	mcpv
壬	rfpt
升	ugpc
夭	ycpd
长	ihpn
长	vhpn
仁	rfre
什	uiru
什	ufru
片	pmpv
仆	purb
化	hxrb
仇	izrj
仇	qqrj
币	bipj
仍	rgrn
仅	jbry
斤	jbil
爪	vcin
爪	vxin
反	fjiy
介	jprl
父	fubx
从	csrr
仑	lyrb
今	jbrv
凶	xskx
分	ffbd
乏	fapv
公	gsbs
仓	chrv
月	ytke
氏	uipv
氏	vipv
勿	wubp
欠	qmdr
风	fgjx
丹	djkd
匀	yybd
乌	wupa
勾	gzbs
凤	fgjy
六	lqwb
文	wfwx
亢	khwj
方	fhwv
火	hobr
为	wwld
斗	dzud
忆	yixv
计	jiyu
订	dkyd
户	hudu
认	rfyr
冗	rsbj
讥	jiyj
心	xbdd
尺	iiun
引	ybgl
丑	izvt
巴	basl
孔	kszv
队	dver
办	bjld
以	yilr
允	yyse
予	yusl
邓	dgye
劝	qryl
双	ulyy
书	uuvd
幻	hryv
玉	yuwd
刊	kjgd
未	wwam
末	moam
示	uiex
击	jifk
打	dafd
巧	qngk
正	vgav
扑	pufb
卉	hvuc
扒	bafb
扒	pafb
功	gsgl
扔	rgfn
去	quts
甘	gjca
世	uicv
艾	aicx
艾	yicx
古	guuk
节	jpce
本	bfma
术	uumd
术	vumd
可	kedk
丙	bkan
左	zoug
厉	liiw
石	uiak
石	djak
右	yzuk
布	buuj
夯	hhdl
戊	wugp
龙	lsyp
平	pkau
灭	mpah
轧	gaiv
轧	yaiv
轧	vaiv
东	dsax
卡	kaub
卡	qxub
北	bwlb
占	vjbk
凸	tula
卢	lubu
业	yela
旧	jqlo
帅	uklj
归	gvle
旦	djoa
目	muke
且	qpoa
且	juoa
叶	yeku
叶	xpku
甲	jxtl
申	uftl
叮	dkkd
电	dmyv
号	hckk
田	tmku
由	yzlt
只	vikb
叭	bakb
史	uikn
央	yhkr
兄	xske
叽	jikj
叼	dnkd
叫	jnkj
叩	kzke
叨	dckd
叨	tckd
另	lkkl
叹	tjky
冉	rjkt
皿	mbka
凹	aola
凹	wala
囚	qqkr
四	sike
生	ugpf
矢	uipd
失	uipf
乍	vape
禾	hepm
丘	qqja
付	furc
仗	vhrv
代	ddry
仙	xmru
们	mfrm
仪	yiry
白	bdpo
仔	zdrz
仔	zirz
他	tary
斥	iijd
瓜	gxin
乎	hupl
丛	csra
令	lkrs
用	yskf
甩	ukyv
印	ybpe
尔	erdx
乐	lepx
乐	ytpx
乐	lcpx
句	jubk
句	gzbk
匆	csbd
册	ceka
卯	mcpe
犯	fjqv
外	wdxb
处	iuwb
冬	dswd
鸟	nnna
鸟	dnna
务	wuwl
包	bcbs
饥	jiuj
主	vuwt
市	uiwj
立	liwb
冯	fgdm
冯	pkdm
玄	xrwy
闪	ujmr
兰	ljbs
半	bjbf
汁	vidu
汇	hvdk
头	tzdd
汉	hjdy
宁	nkbd
穴	xtbb
它	tabb
讨	tcyc
写	xpby
让	rhyu
礼	lipv
训	xyyi
议	yiyy
必	bixp
讯	xyyu
记	jiyj
永	ysdu
司	sivk
尼	niub
民	mbvv
弗	fugl
弘	hsgs
出	iuuu
辽	lnzl
奶	ndnn
奴	nuny
召	vcdk
召	ucdk
加	jxlk
皮	pipy
边	bmzl
孕	yynz
发	fafy
圣	ugyt
对	dvyc
台	tdsk
矛	mcyp
纠	jqsj
母	mumd
幼	yzyl
丝	sisa
邦	bhfe
式	uiyg
迂	yuzy
刑	xkkd
戎	rsgu
动	dsyl
扛	khfg
扛	ghfg
寺	sitc
吉	jitk
扣	kzfk
考	kclk
托	tofq
老	lclb
巩	gsgf
圾	jitj
执	vifw
扩	kofg
扫	scfe
地	dity
地	dety
场	ihtp
扬	yhfp
耳	erol
芋	yucy
共	gscb
芒	mhcw
亚	yaay
芝	vicv
朽	xqmk
朴	pumb
朴	pnmb
朴	pomb
机	jimj
权	qrmy
过	gozc
臣	ifkl
吏	lign
再	zdar
协	xpub
西	xiak
压	yaid
厌	yjiq
戌	xuwa
在	zdut
百	bdab
有	yzuo
存	cyuz
而	eral
页	yeab
匠	jlkj
夸	kxdk
夺	dodc
灰	hvuh
达	dazd
列	lpdd
死	sidb
成	igwv
夹	jxar
夹	gaar
夷	yiar
轨	gvij
邪	xpye
邪	yeye
尧	ycyw
划	hxgd
迈	mdzw
毕	bibu
至	vigt
此	civb
贞	vfbb
师	uilj
尘	ifxt
尖	jmxd
劣	lpul
光	glxe
当	dhxe
早	zcou
吁	xuky
吁	yuky
吐	tukt
吓	xxkx
吓	hekx
虫	isvd
曲	qukc
团	trkc
吕	lvkk
同	tskk
吊	dnkj
吃	iikv
因	ybkd
吸	xikj
吗	makm
吆	ycky
屿	yuuy
屹	yiuv
岁	svux
帆	fjjf
回	hvkk
岂	qiuj
则	zebd
刚	ghkd
网	whkx
肉	rznr
年	nmpf
朱	vupw
先	xmne
丢	dqpq
廷	tkzt
舌	ueqk
竹	vugg
迁	qmzq
乔	qnyl
迄	qizv
伟	wwrw
传	vrrv
传	irrv
乒	pkqp
乓	phqd
休	xqrm
伍	wurw
伏	furq
优	yzry
臼	jqpa
伐	farg
延	yjzv
仲	vsrv
件	jmrn
任	rfrt
伤	uhrl
价	jxrj
价	jprj
伦	lyrl
份	ffrf
华	hxru
仰	yhre
仿	fhrf
伙	horh
伪	wwrw
自	zipo
伊	yiry
血	xppm
血	xtpm
向	xlpk
似	sirr
似	uirr
后	hzik
行	xkrd
行	hhrd
行	hgrd
舟	vzpd
全	qrrw
会	hvry
会	kkry
杀	uaxm
合	herk
合	gerk
兆	vced
企	qirv
众	vsrr
爷	yefe
伞	sjru
创	ilrd
肌	jioj
肋	leol
肋	lwol
朵	dojm
杂	zajm
危	wwdv
旬	xybo
旨	vibo
旭	xujo
负	fudb
匈	xsbx
名	mkxk
各	gewk
多	doxx
争	vgdy
色	sedb
色	uddb
壮	vllt
冲	isdv
妆	vlln
冰	bkdu
庄	vlgt
庆	qkgd
亦	yiwb
刘	lqwd
齐	qiwl
交	jnwf
衣	yiwy
次	cidq
产	ijwi
决	jtdg
亥	hdwr
充	iswy
妄	whwn
闭	bimc
问	wfmk
闯	ilmm
羊	yhbf
并	bkbk
关	grbt
米	mibm
灯	dghd
州	vzdl
汗	hjdg
污	wudk
江	jldg
汛	xydu
池	iidy
汝	rudn
汤	thdp
汤	uhdp
忙	mhxw
兴	xkxb
宇	yuby
守	uzbc
宅	vdbq
字	zibz
安	anbn
讲	jlyj
讳	hvyw
军	jybi
讶	yayy
许	xuyu
讹	eeyb
论	lyyl
讼	ssyg
农	nsby
讽	fgyf
设	ueyu
访	fhyf
诀	jtyg
寻	xyec
那	nave
那	nwve
迅	xyzu
尽	jbid
导	dcsc
异	yijc
弛	iigy
孙	syzx
阵	vfei
阳	yheo
收	uzjw
阶	jpej
阴	ybeo
防	fhef
奸	jmng
如	runk
妇	fune
妃	fwnj
好	hcnz
她	tany
妈	manm
戏	xiyg
羽	yuxx
观	gryj
欢	hryq
买	mdad
红	hssg
红	gssg
驮	tomd
驮	domd
纤	xmsq
纤	qmsq
驯	xymi
约	ytsu
约	ycsu
级	jisj
纪	jisj
驰	iimy
纫	rfsr
巡	xyzv
寿	uzfc
弄	nswc
弄	lswc
麦	mdfw
玖	jqwj
玛	mawm
形	xkkp
进	jbzj
戒	jpgc
吞	tytk
远	yrzy
违	wwzw
韧	rfwr
运	yyzy
扶	fuff
抚	fufw
坛	tjty
技	jifv
坏	hktb
抠	kzfq
扰	rcfy
扼	eefv
拒	jufj
找	vcfg
批	pifb
址	vitv
扯	iefv
走	zztz
抄	icfu
贡	gsgb
汞	gsgu
坝	batb
攻	gsgw
赤	iitb
折	vefj
折	uefj
抓	vxfv
扳	bjfy
抡	lyfl
扮	bjff
抢	qlfv
孝	xnlz
坎	kjtq
均	jyty
抑	yife
抛	pcfl
投	tzfu
坟	fftw
坑	kgtj
抗	khfj
坊	fhtf
抖	dzfd
护	hufh
壳	ketj
壳	qntj
志	vitx
块	kktg
扭	nqfi
声	ugtu
把	bafb
报	bcfy
拟	nifr
却	qtqe
抒	uufy
劫	jpql
芙	fucf
芜	wucw
苇	wwcw
芽	yacy
花	hxcb
芹	qbcj
芥	jpcj
芬	ffcf
苍	chcv
芳	fhcf
