的	dbui
一	yhee
不	bheu
是	sqia
了	lzai
人	rpuo
他	trui
我	wgue
在	zteu
有	yeeu
道	doou
你	nrui
来	leeo
她	taau
大	deeu
个	gruo
上	siie
中	ziia
到	dlea
说	sooa
出	ccai
地	dtei
为	woou
没	mdoo
要	yxei
着	zoou
子	zaai
下	xbei
那	naae
也	yaai
得	duuu
和	hhue
会	huuo
这	zloe
就	jwoe
时	sqia
以	yrao
之	zdoa
国	giia
可	kkei
去	qtei
名	muua
心	xooa
过	geei
好	haau
然	ruua
对	daao
自	zuui
小	xiiu
天	teee
看	kuue
手	suue
生	snue
里	liia
而	vheu
发	fyau
后	hkuu
能	nsao
家	jooo
起	qeei
只	zkia
命	mruo
想	xeei
事	seei
还	heeu
如	raau
身	spui
多	dxua
已	yjae
面	meeu
无	weee
头	tooo
方	fooe
开	keee
都	dvei
前	qoou
知	zsue
见	jiia
声	stei
又	yzao
作	zrui
成	ceeu
两	lhei
用	yuua
于	yvee
经	jaaa
老	ltei
笑	xuue
法	fdoo
年	nuue
当	diio
日	riia
意	yooe
点	dbie
动	dlee
所	sjuu
此	ciie
行	xcuu
现	xwee
进	jeee
情	qloo
但	drui
主	zwoe
使	srui
把	beei
同	tiia
定	dgoo
全	quuo
回	hiia
三	svee
样	ymei
力	laau
分	fuuo
本	bmei
向	xkui
实	sgoo
问	wmoi
女	nzau
高	gooe
十	shei
话	hooa
儿	vuua
明	miia
气	qpue
将	jzoe
与	yhea
眼	yiia
正	zeei
走	ztei
从	cuuo
真	zsei
些	xvie
理	lwee
己	jzae
口	kiia
外	wuua
公	guuo
门	mooi
间	jmoi
其	qhei
再	zhei
等	dpue
才	chei
种	zhue
工	ghei
学	xxoo
民	maae
业	ysii
相	xmei
很	hcuu
关	gbou
因	ykia
文	wdoe
二	veee
部	booe
何	hrui
却	qvei
听	tkia
少	sxiu
吗	mkia
神	snoa
被	bnoa
白	buui
住	zrui
者	ztei
打	dfei
新	xjoe
便	brui
月	ypua
先	xnue
位	wrui
最	zqia
机	jmei
给	gaaa
内	niia
什	srui
山	ssia
引	ygae
信	xrui
加	jlau
几	juua
别	biia
目	msia
处	cwua
次	cooe
水	ssia
太	tdeu
光	gxio
入	rpuo
并	bbou
合	hruo
立	looe
由	yqia
风	fpua
表	bvee
报	bfei
难	nyao
死	sdeu
长	cpue
今	jruo
平	pheo
展	zsae
四	skia
金	jpuo
怎	zxue
体	tuui
色	sdua
安	vooo
果	gqia
放	ffoe
更	ghei
马	mzaa
西	xhei
感	gxeu
觉	jxoo
化	hrui
美	myou
快	kooo
总	zxou
夫	feee
第	dpue
接	jfei
做	zrui
直	zsei
叫	jkia
比	bhea
政	zwei
建	jlae
连	llea
场	ctei
市	swoe
利	luue
望	wwoe
数	swou
解	jjua
制	zlue
性	xloo
让	rooa
像	xrui
原	yceu
步	bnie
近	jluu
轻	qcea
系	xxua
世	scei
王	whee
教	jwei
特	tnue
边	baau
托	tfei
重	cvue
通	tlao
万	whea
师	sjiu
产	cloe
结	jjaa
算	spue
任	rrui
双	saao
电	dqia
脸	lvua
常	cjio
东	dhea
路	lzia
张	zgae
强	qaae
受	szuo
各	gwua
记	jyoa
非	fiie
冷	ldoe
著	zcei
爱	vzuo
们	mrui
花	hcei
飞	faau
活	hdoo
云	yvee
及	jpua
度	dgoe
必	bxoa
么	msua
至	ztea
清	qdoo
亲	qloe
官	ggoo
思	stia
五	whei
件	jrui
变	bwoe
该	gyoa
海	hdoo
管	gpue
未	wvee
长	zpue
指	zfei
谁	syoa
江	jdoo
