〇	lgoo
一	ykvv
丁	dgvi
七	qkva
万	mlva
丏	mmvi
丐	ghvi
丕	pkvu
世	ekvi
丘	qqui
丙	bgvi
丝	skaa
丞	jrai
严	yfvi
丫	ysou
串	wtia
丽	lkvi
乇	tluv
义	ykou
乍	fsuv
乓	ppui
乙	ykaa
乜	mdaa
乜	ndaa
习	xkao
乳	rjuo
乸	nsai
乾	gfuo
乾	qmuo
予	ylao
井	jgvv
亘	gnvo
亚	ysvi
些	sliv
亟	qkai
亡	wpov
亢	kpov
亥	hhov
亨	hrov
享	xxov
京	jgov
亭	tgov
亮	lxov
亳	blov
人	rnii
亿	ykia
什	eniu
仃	dgiv
仄	zevu
仅	jbia
仆	pjii
仇	qqiu
仉	qpiu
今	jbio
介	jdiu
仑	lwiu
仔	zkia
仕	ekiv
仗	qpiv
仙	xmii
仝	tyiv
仞	rnia
仟	qmiu
仨	ssiv
仪	ykio
仰	ypiu
仲	fyii
仳	pkiv
件	jmiu
价	jsii
伉	kpio
伎	qkiu
伏	fjiv
伐	fsiv
优	ydiv
伙	hlio
伟	wwiv
传	ftiv
伢	ysiv
伤	epiu
伥	jpiu
伦	lwii
伧	jnii
伪	wwio
伯	bliu
估	gjiu
伴	bfio
伺	ckia
伽	qdia
佃	dmii
佃	tmii
佐	zliv
佘	eeiv
佛	flia
佝	gdiu
佞	ngiv
佣	yyiu
佤	wsiv
佯	ypio
佰	bhiv
佳	jsiv
佴	nhiv
佴	xjiv
佻	tciu
佼	jcio
佽	ckio
侈	wkiu
侉	kqiv
侗	dyii
侣	llio
侥	jciv
侥	yziv
侦	qnii
侧	fhia
侧	qhia
侨	qciu
侩	kgii
侮	wjiu
侯	hdia
侴	hziv
便	pmiv
俅	qqiv
俍	lxio
俏	qcii
俐	lkiu
俦	wdiv
俨	yfiv
俪	lkiv
俯	fjio
俱	jlii
俳	phii
俵	bciv
俶	jjii
俸	friv
俺	xfiv
俾	bkiu
倌	gtio
倍	bwio
倔	jhia
倘	tpii
倚	ykiv
倜	tkiu
借	jdiv
倥	kyio
倦	jtio
倧	zyio
倩	qgiv
倩	qmiv
倪	nkiu
倴	bniv
债	fhiv
债	qhiv
倻	yeiv
值	fkiu
偈	jdio
偕	xdiv
偡	qfiv
健	jmia
偭	mmiv
偲	chii
偶	xdii
偾	fniu
偿	jpii
傀	gbiu
傀	kbiu
傍	bpio
傒	xkiu
傧	bbio
傩	nlia
僇	ljia
僔	zwio
僦	jqio
僮	fmio
僮	fxio
僮	tyio
僰	blvi
僳	sjiv
僵	jxiv
僻	pkia
儴	rpio
兀	wjvu
兆	fzuo
兆	qzuo
兔	tjua
兢	jguo
兴	xgoo
具	jlia
典	dmia
兹	zkou
兼	jmou
兽	edou
冀	jkiv
冏	jyia
冕	mmia
冗	ryoa
冠	gtoa
冢	fyoa
冤	ytoa
冥	mgoa
冮	gpov
冯	frov
冯	pgov
冰	bgov
冱	hjov
冶	yeov
冻	dyov
冽	ldov
凋	dcov
凌	lgov
凛	lbov
凡	ffua
凰	hmua
凰	hxua
凶	xyuo
凸	tjiv
凹	xzia
击	jkvv
函	hfai
凿	zzii
刃	rnau
刊	kfvv
刎	wnua
制	fkuv
刹	esuo
刻	keov
刽	gbiv
剀	khia
剁	dlua
剃	tkou
削	xhio
剋	kwuo
剌	lsvi
剐	gqoi
剑	jmiv
剖	pdov
剟	dlao
剥	blav
剧	jlav
功	gyvi
务	wjua
劣	ldiu
助	qjia
努	njau
劫	jdvo
劬	qlua
劲	jbao
勃	bluo
勃	bwuo
勉	mmua
勒	lwvi
勔	mmvu
勖	xlia
勘	kfvi
勤	qbvi
勰	xdau
勺	ezua
勾	gdua
匈	xyua
匍	pjua
匕	bkua
匙	ekoi
匙	wkoi
匚	fpva
匝	zsvi
匡	kmvv
匡	kxvv
匣	xsvi
匮	kbvi
匾	bmvo
升	eruv
卉	hbuo
华	hqiu
卑	bwui
卒	cjov
卓	fliv
单	jfou
卜	bjio
卫	wwai
卬	ypua
危	wwua
卸	xduv
卺	jbai
厂	jpvu
厄	xevu
历	lkvu
厌	yfvu
厍	eevu
厖	mpvu
厝	clvu
厢	xxvu
厦	xsvu
厩	jqvu
厮	skvu
厶	skao
厾	djav
参	cnao
叉	wsao
及	jkua
友	ydvu
叙	xliv
叛	pfou
叟	sdui
叠	ddao
口	kdoo
叨	tzoa
叭	bsou
叭	psou
叮	dgov
叱	wkou
史	ekia
叵	plvo
叶	xdou
叶	yeou
叻	leoa
叼	dcoa
叽	jkou
吉	jkvo
吊	dcoi
吋	cwov
吓	xsov
吕	lloo
吖	xsoo
吖	ysoo
君	jwav
吟	yboi
吠	fwov
吣	qboo
启	qkoa
吱	fkou
吲	yboa
吴	wjov
吵	jzoi
吵	wzoi
吸	xkou
吻	wnou
吼	hdoa
吾	wjvi
呐	neoi
呐	nsoi
呔	dhov
呔	thov
呕	xdov
呙	gloi
呜	wjou
呤	lgoi
呱	gqou
呲	ckoi
呲	zkoi
呵	heov
呶	nzoa
呻	enoi
呼	hjou
咀	zboi
咂	zsov
咄	dloa
咆	pzou
咋	fsou
咏	yyoo
咐	fjoi
咒	fdoo
咔	ksoi
咕	gjou
咖	gsoa
咖	jsoa
咚	dyou
咛	ngoo
咣	gmoi
咣	gxoi
咤	fsoo
咩	mdoo
咯	geou
咯	ksou
咯	llou
咳	hhoo
咳	keoo
咸	xmvu
咻	xqoi
咽	yeoi
咽	yfoi
哂	enov
哃	tyoi
哄	hyov
哆	dlou
哇	wsov
哎	xhoi
哏	hnoa
哑	ysov
哒	dsov
哓	xcov
哝	nyoo
哞	mdoa
哥	gevo
哦	xeou
哧	wkov
哨	ezoi
哩	lkoi
哪	neoa
哮	xcou
哲	feiu
哲	qeiu
哺	bjov
哽	grov
哿	geau
唆	sloa
唇	jwvu
唉	xhoa
唔	xnov
唝	gyov
唠	lzoi
唢	sloi
唬	hjoi
售	edio
唯	wwoi
唳	lkoo
唼	esoo
啁	fdou
啁	tcou
啄	flov
啕	tzou
啜	wgoa
啡	fwoi
啤	pkou
啧	zeov
啫	feou
啫	qeou
啮	ndoi
啰	lloi
啴	tfoo
啵	bloa
啶	dgoo
啷	lpoo
啸	xcoa
啼	tkoo
啾	jqou
喀	ksoo
喆	fevo
喆	qevo
喏	nloi
喔	wloa
喔	xloa
喝	yeoo
喟	kboi
喧	xtoo
喰	cfoi
喳	fsov
喵	mcoi
喹	kbov
喻	yloi
喽	ldoo
嗄	esov
嗅	xqou
嗉	sjov
嗍	sloo
嗒	dsoi
嗔	jnou
嗜	ekou
嗝	geov
嗞	zkoo
嗟	jdoo
嗤	wkoa
嗥	hzou
嗨	hhoa
嗪	qbov
嗫	ndov
嗬	heoi
嗲	dsou
嗳	xhou
嗵	tyoa
嗷	xzov
嗼	mloi
嗽	sdov
嗾	sdoo
嘀	dkoo
嘈	czov
嘉	jsvo
嘘	xloi
嘟	djou
嘡	tpoi
嘣	broi
嘤	ygoa
嘬	wgoo
嘬	zloo
嘭	prov
嘲	jzou
嘲	wzou
嘶	skov
嘻	xkov
噂	zwoo
噌	croo
噔	droa
噘	jhov
噙	qboi
噜	ljou
噢	xlou
噤	jbov
器	qkoo
噩	xevi
噪	zzoo
噻	shoo
嚄	hloi
嚅	rjov
嚎	hzoo
嚓	wsoo
嚯	hlov
嚼	jcou
囡	nfia
囱	cyui
围	wwia
囵	lwia
圃	pjia
圆	ytia
圈	jtia
圜	htia
圩	wwvo
