的	debu
我	wqpd
我	wqpp
是	uuop
是	uuov
了	leaa
了	levu
你	npre
在	zkta
在	zkut
和	hrhk
都	dbev
不	byad
不	byax
有	ymou
有	ymuo
就	jpyj
也	ytgg
好	hanz
个	gwra
个	gwpa
人	rgpd
说	uoyd
用	yakf
他	tary
这	vwzw
来	laam
来	lawb
要	yjxn
去	qcts
会	hcry
看	khou
看	khuo
中	vsaa
中	vska
想	xgxx
没	mxdu
啊	aaka
那	nlel
吧	bakb
给	gcsh
能	nhsb
对	dccy
对	dcyc
上	ugaa
上	ugba
到	djdv
多	doxx
吗	makm
里	lpaa
里	lptt
被	bmyp
做	zirg
又	yvvd
又	yvad
过	gizc
让	rgyu
还	hazb
她	tany
打	ddfd
把	bdfb
而	etaa
着	veyo
大	dlad
从	cdrr
它	tabb
写	xvby
再	zkaa
再	zkat
字	zubz
得	dexc
搞	gafg
狗	gmqj
猫	mkqm
一	yiaa
真	vfuj
下	xqab
下	xqad
但	dhrd
叫	jxkj
很	hhxg
比	bpbb
呢	nekn
最	zcoq
更	gfad
更	gfag
地	dety
地	duty
等	djvs
吃	iikq
像	xsrx
后	hvpk
时	uooc
只	vpkb
点	dxdv
点	dxhv
先	xmne
先	xmen
话	hqyu
与	ynaa
快	ktxd
快	ktxg
玩	wkwy
当	dhxx
已	ypvg
已	ypag
问	wdkm
问	wdmk
完	wkby
以	yprd
以	ypry
将	jddc
将	jdjc
将	jdpc
您	nmxn
找	vafg
爱	auvy
太	tkdd
谁	uxyv
才	caap
年	nzpa
年	nzra
新	xnjq
跟	gfzg
别	bcdl
学	xydz
学	xyzb
哇	wakg
按	abfa
哎	aika
前	qzbd
前	qzqd
睡	ucoi
加	jwlk
加	jwkl
所	sqhj
所	sqjh
为	wxdd
为	wmdd
可	ktdk
出	iuck
出	iuaa
该	glyh
向	xspk
却	qreq
哦	opkw
小	xbad
天	tmad
高	gkwk
高	gkdk
买	msat
买	msvt
呀	yaky
刚	ghdg
事	uuaa
好	hjnz
坏	httb
发	faay
发	fafd
发	favy
发	fayd
全	qtrw
开	klac
万	whag
万	whap
之	vidd
心	xndd
帮	bhjb
回	hbkk
得	drxc
牛	nwpa
家	jwbu
长	ijpd
月	yroy
月	yrpa
月	yryt
卖	mkum
岁	scux
成	ihgg
成	ihwg
唉	auky
唉	auku
跑	pazb
