# 化学元素
氢	och
氦	oche
锂	ocli
铍	ocbe
硼	ocb
碳	occ
氮	ocn
氧	oco
氟	ocf
氖	ocne
钠	ocna
镁	ocmg
铝	ocal
硅	ocsi
磷	ocp
硫	ocs
氯	occl
氩	ocar
钾	ock
钙	occa
钪	ocsc
钛	octi
钒	ocv
铬	occr
锰	ocmn
铁	ocfe
钴	occo
镍	ocni
铜	occu
锌	oczn
镓	ocga
锗	ocge
砷	ocas
硒	ocse
溴	ocbr
氪	ockr
铷	ocrb
锶	ocsr
钇	ocy
锆	oczr
铌	ocnb
钼	ocmo
锝	octe
钌	ocru
铑	ocrh
钯	ocpd
银	ocag
镉	occd
铟	ocin
锡	ocsn
锑	ocsb
碲	octe
碘	oci
氙	ocxe
铯	occs
钡	ocba
铪	ochf
钽	octa
钨	ocw
铼	ocre
锇	ocos
铱	ocir
铂	ocpt
金	ocau
汞	ochg
坨	octl
铅	ocpb
铋	ocbi
钋	ocpo
砹	ocat
氡	ocrn
钫	ocfr
镭	ocra
𬬻	ocrf
𬭊	ocdb
𬭳	ocsg
𬭛	ocbh
𬭶	ochs
鿏	ocmt
𫟼	ocds
𬬭	ocrg
鿔	occn
鉨	ocnh
𫓧	ocfl
镆	ocmc
𫟷	oclv
鿬	octs
鿫	ocog
镧	ocla
铈	occe
镨	ocpr
钕	ocnd
钷	ocpm
钐	ocsm
铕	oceu
钆	ocgd
铽	octb
镝	ocdy
钬	ocho
铒	ocer
铥	octm
镱	ocyb
镥	oclu
锕	ocac
钍	octh
镤	ocpa
铀	ocu
镎	ocnp
钚	ocpu
镅	ocam
锔	occm
锫	ocbk
锎	occf
锿	oces
镄	ocfm
钔	ocmd
锘	ocno
铹	oclr
