啊	a
阿	aa
锕	aaj
吖	aak
呵	aakk
嗄	aakx
吁	aaky
腌	aao
昂	ah
卬	ahe
盎	ahm
腌	aho
肮	ahok
爱	ai
癌	aib
皑	aibj
皑	aibq
艾	aic
蔼	aich
蔼	aicy
哀	aid
隘	aie
挨	aif
锿	aij
唉	aik
哎	aika
嗳	aika
唉	aiku
唉	aiky
嗌	aiky
嫒	ain
暧	aio
乂	aipd
欸	aiq
暧	air
佁	airt
埃	ait
堨	aith
堐	aity
矮	aiu
砹	aiua
碍	aiuc
毐	aium
硙	aiuq
崖	aiuy
硙	aiuy
哀	aiw
瑷	aiwa
毐	aiwu
哀	aiy
叆	aiya
霭	aiyh
乂	aiyi
霭	aiyy
安	an
安	anb
案	anb
按	anf
庵	ang
鞍	anga
黯	anh
铵	anj
唵	ank
匼	ankh
案	anm
桉	anma
盦	anmy
鹌	ann
暗	ano
胺	anoa
氨	anq
犴	anqg
暗	anr
俺	anrd
俺	anry
埯	ant
垵	anta
垾	anth
岸	anu
矸	anug
谙	anyy
奥	ao
凹	aoa
奡	aoaa
奡	aoad
澳	aod
熬	aoda
奡	aodd
熬	aodw
隩	aoe
聱	aoea
拗	aof
廒	aog
熬	aoh
燠	aoha
螯	aoi
鏊	aoj
鏖	aojl
嗷	aok
鏖	aol
骜	aom
媪	aon
夭	aop
獒	aoq
傲	aor
坳	aot
圫	aotq
圫	aott
嶅	aoua
嶅	aouw
岙	aouy
敖	aow
璈	aowa
璈	aoww
懊	aox
鳌	aoy
翱	aoyg
岙	aoyu
翱	aoyu
袄	aoyy
遨	aoz
不	b
吧	b
把	ba
爸	ba
巴	baa
疤	bab
琶	babw
芭	bac
葩	bacb
菝	bacb
灞	bad
拔	baf
扒	bafb
捌	bafb
拔	bafy
靶	bag
魃	bagb
魃	bagy
蚆	bai
钯	baj
吧	bak
叭	bakb
巴	bakg
耙	bal
粑	bam
杷	bamb
朳	bamb
胈	bao
八	bap
伯	bar
罢	bas
坝	bat
岜	bau
祓	baub
岊	baub
祓	bauy
巴	bav
笆	bavb
舥	bavb
琶	baw
霸	bay
鲅	bayb
鲃	bayb
鲌	bayb
羓	bayb
鲅	bayy
跋	baz
表	bn
瘭	bnb
藨	bnc
蔈	bncp
瀌	bnd
飙	bnf
飑	bnfb
摽	bnfp
彪	bnh
熛	bnhp
镖	bnj
镳	bnjb
镳	bnjd
镳	bnjh
幖	bnjp
嘌	bnk
标	bnm
骉	bnmm
杓	bnmu
婊	bnn
膘	bno
脿	bnob
儦	bnr
俵	bnrb
裱	bny
鳔	bnyp
本	bf
贲	bfb
苯	bfc
奔	bfd
夯	bfdl
奋	bfdt
锛	bfj
犇	bfn
倴	bfrb
畚	bfs
坌	bft
笨	bfv
崩	bg
甭	bgb
洴	bgd
浲	bgdf
弸	bgg
蚌	bgi
镚	bgj
嘣	bgk
绷	bgs
堋	bgt
泵	bgu
祊	bguf
琫	bgw
玤	bgwf
蹦	bgz
迸	bgzb
帮	bh
蒡	bhc
浜	bhdb
邦	bhe
邦	bhf
搒	bhfp
蚌	bhi
蚄	bhif
螃	bhip
镑	bhj
棒	bhm
梆	bhmb
棓	bhmk
榜	bhmp
棓	bhmp
膀	bho
傍	bhr
绑	bhs
塝	bht
磅	bhu
磅	bhup
玤	bhwf
甏	bhwp
谤	bhyp
比	bi
毕	bib
痹	bibb
毖	bibb
赑	bibb
皕	bibb
弼	bibg
贲	bibh
鼽	bibj
痹	bibq
毙	bibs
坒	bibt
弊	bic
蔽	bicb
蓖	bicb
薜	bicb
芘	bicb
萆	bicb
苾	bicb
荜	bicb
荸	bicb
蔽	bicw
薜	bicx
荸	bicz
必	bid
泌	bidb
滗	bidb
濞	bidb
沘	bidb
鄙	bie
陛	bieb
邲	bieb
陛	biet
拂	bif
捭	bifb
弼	big
庇	bigb
髀	bigb
庳	bigb
秘	bih
稗	bihb
秕	bihb
虑	bihx
蚍	bii
铋	bij
鐾	bijb
鐾	bijx
觱	bijx
哔	bik
吡	bikb
咇	bikb
闭	bim
婢	bin
嬖	binb
媲	binb
妣	binb
嬖	binx
臂	bio
