的	drbu
我	wipd
我	wipp
是	utop
是	utov
了	lraa
了	lrvu
你	ngre
在	zota
在	zout
和	hehk
都	dxev
不	bhad
不	bhax
有	yzou
有	yzuo
就	joyj
也	ylgg
好	hxnz
个	gira
个	gipa
人	rspd
说	usyd
用	yykf
他	tlry
这	vizw
来	ldam
来	ldwb
要	yvxn
去	qfts
会	hfry
看	kaou
看	kauo
中	vkaa
中	vkka
想	xuxx
没	mrdu
啊	alka
那	niel
吧	blkb
给	gjsh
能	nfsb
对	dfcy
对	dfyc
上	udaa
上	udba
到	dvdv
多	dsxx
吗	mlkm
里	lgaa
里	lgtt
被	bkyp
做	zprg
又	yrvd
又	yrad
过	gpzc
让	rdyu
还	hdzb
她	tlny
打	dmfd
把	bmfb
而	ekaa
着	vryo
大	diad
从	cjrr
它	tlbb
写	xcby
再	zoaa
再	zoat
字	ztbz
得	drxc
搞	gxfg
狗	gzqj
猫	mqqm
一	yjaa
真	veuj
下	xxab
下	xxad
但	dard
叫	jlkj
很	hoxg
比	bgbb
呢	nrkn
最	zfoq
更	gfad
更	gfag
地	drty
地	dtty
等	dyvs
吃	ijkq
像	xerx
后	hrpk
时	uboc
只	vgkb
点	dpdv
点	dphv
先	xrne
先	xren
话	hgyu
与	ysaa
快	kfxd
快	kfxg
玩	wpwy
当	duxx
已	ygvg
已	ygag
问	wokm
问	womk
完	wpby
以	ygrd
以	ygry
将	jydc
将	jyjc
将	jypc
您	ncxn
找	vxfg
爱	aovy
太	todd
谁	uryv
才	cdap
年	nvpa
年	nvra
新	xhjq
跟	gezg
别	bsdl
学	xidz
学	xizb
哇	wlkg
按	aafa
哎	abka
前	qvbd
前	qvqd
睡	ufoi
加	jdlk
加	jdkl
所	slhj
所	sljh
为	wrdd
为	wkdd
可	kldk
出	iack
出	iaaa
该	gbyh
向	xepk
却	qdeq
哦	oekw
小	xlad
天	trad
高	gqwk
高	gqdk
买	muat
买	muvt
呀	ylky
刚	gudg
事	utaa
好	hvnz
坏	hftb
发	flay
发	flfd
发	flvy
发	flyd
全	qorw
开	kbac
万	waag
万	waap
之	vjdd
心	xhdd
帮	bujb
回	hwkk
得	dexc
牛	nmpa
家	jdbu
长	iwpd
月	ydoy
月	ydpa
月	ydyt
卖	moum
岁	sfux
成	ifgg
成	ifwg
唉	aoky
唉	aoku
跑	pxzb
走	zztv
早	zxou
连	lvzi
滴	djdd
滴	djdg
越	ydzy
无	wlag
无	wlay
无	wlee
阿	alek
送	syzg
分	febd
分	fedb
黑	hiad
黑	hiha
额	eeyk
妈	mlnm
换	hcfh
们	merm
难	npyv
同	tjkk
祝	vhux
恩	eexy
干	gaaa
算	scvc
路	lhzg
并	bwbk
并	bwqc
呗	bikb
少	uxxp
猜	cbqq
放	fdwf
放	fdfw
擦	clfi
转	vsiv
错	cpjx
脸	lpoa
脸	lpoq
贴	tkbv
陪	prek
陪	prep
带	dojb
笑	xlvy
敢	gowe
敢	goaw
敢	govw
谱	pmyp
拿	nuuh
二	ehaa
煮	vmdv
煮	vmhv
鸡	jjny
鸡	jjyn
或	hpgk
书	uaad
书	uavd
每	mjpm
每	mjrm
画	hgak
坐	zptc
坐	zptr
坐	zprt
咯	kmkg
掉	dlfv
讲	juyj
梦	mfmx
梦	mfxl
冷	lydl
花	hsch
于	ymaa
手	uzpa
手	uzub
咋	zmkv
哟	ypky
爆	bvhb
站	valv
变	bawy
变	bayy
看	knou
看	knuo
哥	grkd
哥	grkk
哥	grdk
版	bopf
水	uvad
水	uvuv
起	qgzj
图	tlkd
弄	nycw
弄	nywc
住	vhrv
啦	llkl
够	grjd
够	grxj
咩	mkky
累	lkst
累	lkts
倒	dvrd
肉	rrad
肉	rrkr
毛	mipg
神	usuu
请	qwyq
拉	llfl
肿	vnov
听	tekj
内	nkad
内	nkkr
噢	opka
唱	idki
