的	d
我	w
我	wip
是	u
是	uto
了	l
了	lrv
你	n
在	z
在	zou
和	h
都	dx
不	b
不	bha
有	y
就	j
也	yl
好	hx
个	g
个	gip
人	r
说	us
用	yy
他	t
这	v
来	ld
来	ldw
要	yv
去	q
会	hf
看	k
中	vk
中	vkk
想	x
没	m
啊	a
那	ni
吧	bl
给	gj
能	nf
对	df
上	ud
上	udb
到	dv
多	ds
吗	ml
里	lg
里	lgt
被	bk
做	zp
又	yr
又	yra
过	gp
让	rd
还	hd
她	tl
打	dm
把	bm
而	e
着	vr
大	di
从	c
它	tlb
写	xc
再	zo
再	zoa
字	zt
得	dr
搞	gx
狗	gz
猫	mq
一	yj
真	ve
下	xx
但	da
叫	jl
很	ho
比	bg
呢	nr
最	zf
更	gf
更	gfa
地	dt
地	drt
等	dy
吃	i
像	xe
后	hr
时	ub
只	vg
点	dp
先	xr
先	xre
话	hg
与	ys
快	kf
快	kfx
玩	wp
当	du
已	yg
问	wo
问	wom
完	wpb
以	ygr
将	jy
将	jyj
将	jyp
您	nc
找	vx
爱	ao
太	to
谁	ur
才	cd
年	nv
年	nvp
新	xh
跟	ge
别	bs
学	xi
学	xiz
哇	wl
按	aa
哎	ab
前	qv
睡	uf
加	jd
加	jdk
所	s
所	slj
为	wr
为	wkd
可	kl
出	ia
出	iaa
嗯	ef
该	gb
向	xep
却	qd
哦	o
小	xl
天	tr
高	gq
买	mu
买	muv
呀	ylk
刚	gu
事	ut
好	hvn
坏	hft
发	f
发	fly
全	qo
开	kb
万	wa
万	waa
之	vj
心	xhd
帮	bu
回	hw
牛	nm
家	jdb
长	iw
月	yd
月	ydy
卖	mo
岁	sf
成	if
成	ifw
唉	aok
跑	p
走	zz
早	zx
连	lv
滴	dj
滴	djd
越	ydz
无	wla
无	wle
阿	al
送	sy
分	fe
分	fed
黑	hi
黑	hih
额	ee
妈	mln
换	hc
们	me
难	np
同	tj
祝	vh
恩	eex
干	ga
算	sc
路	lh
并	bw
并	bwq
呗	bi
少	ux
猜	cb
放	fd
放	fdf
擦	cl
转	vs
错	cp
脸	lp
贴	tk
陪	pr
陪	pre
带	do
笑	xlv
敢	go
谱	pm
拿	nu
二	eh
煮	vm
鸡	jj
鸡	jjy
或	hp
书	ua
每	mj
每	mjr
画	hga
坐	zpt
咯	km
掉	dl
讲	ju
梦	mf
梦	mfx
冷	ly
花	hs
于	ym
手	uz
手	uzu
咋	zm
哟	yp
爆	bv
站	va
变	ba
看	kno
看	knu
哥	gr
哥	grk
版	bo
水	uv
水	uvu
起	qg
图	tlk
弄	ny
弄	nyw
住	vhr
啦	ll
够	grj
够	grx
咩	mk
累	lk
累	lkt
倒	dvr
肉	rr
肉	rrk
毛	mi
神	usu
请	qw
拉	llf
肿	vn
听	te
内	nk
内	nkk
噢	op
唱	id
骂	mik
骂	mim
装	vw
三	sn
蛮	mp
蛮	mpy
腿	tv
正	vf
瘦	urb
卤	lm
卤	lms
俺	aor
老	lx
老	lxl
俩	ln
抱	bvf
忙	mw
超	iq
疼	tf
胖	pd
喔	wpk
车	ir
某	mz
某	mzm
第	dtv
教	jm
生	uc
中	vya
中	vyk
进	jv
假	jn
假	jnr
差	ii
忘	wd
热	ri
选	xs
啥	uu
微	wi
求	qm
若	rp
些	xk
久	jz
苦	kmc
米	mg
约	yu
飞	fi
吓	xxk
亲	qh
照	vv
赢	yn
饿	ei
读	dly
秒	mlh
信	xv
另	lw
儿	ek
靠	kv
靠	kvn
聊	lu
远	ysz
懂	dn
羯	js
低	djr
