啊	aaKK
阿	aaek
吖	aaky
锕	aajk
腌	aaod
爱	aivy
艾	aicx
哎	aikx
唉	aiku
哀	aiyk
挨	aifu
埃	aitu
矮	aiun
碍	aiuc
暧	aioy
癌	aibu
蔼	aicr
隘	aiem
皑	aibj
霭	aiyr
嗳	aiky
嫒	ainy
毐	aitm
欸	aisq
叆	aiyy
瑷	aiwy
砹	aiux
锿	aijk
嗌	aikm
按	anfn
安	anbn
暗	anoo
案	anbm
岸	anug
俺	anrd
黯	anlo
庵	angd
鞍	angn
谙	anyo
氨	anqn
胺	anon
鹌	andn
桉	anmn
犴	anqg
唵	ankd
铵	anjn
埯	antd
盦	anrm
垵	antn
𩽾	anyn
昂	ahoe
肮	ahoj
盎	ahym
卬	ahpe
傲	aorw
奥	aopd
熬	aofh
敖	aofw
澳	aodd
凹	aola
懊	aoxd
嗷	aokw
拗	aofl
袄	aopy
鳌	aofy
翱	aobx
獒	aofq
骜	aofm
坳	aotl
鏖	aolj
遨	aozw
媪	aonm
螯	aofi
岙	aoyu
璈	aoww
鏊	aofj
聱	aofe
廒	aogw
奡	aobl
隩	aoed
薁	aocd
嶅	aofu
把	bafb
吧	baKB
八	bapn
爸	bafb
巴	basl
罢	basq
拔	bafy
霸	bayo
疤	babb
跋	bazy
扒	bafb
叭	bakb
芭	bacb
靶	bagb
坝	batb
耙	balb
笆	bavb
魃	bagy
粑	bamb
钯	bajb
灞	bado
捌	bafd
鲅	bayy
岜	baub
鲃	bayb
菝	bacy
蚆	baib
胈	baoy
羓	bayb
朳	bamb
妭	bany
白	bdpo
百	bdab
败	bdbw
摆	bdfq
拜	bduf
柏	bdmb
掰	bduu
伯	bdrb
佰	bdrb
稗	bdhu
捭	bdfu
半	bjbf
办	bjld
般	bjvu
板	bjmy
班	bjwl
伴	bjrb
版	bjpy
搬	bjfu
扮	bjff
斑	bjww
扳	bjfy
瓣	bjxg
绊	bjsb
颁	bjfy
拌	bjfb
阪	bjey
坂	bjty
瘢	bjbu
钣	bjjy
癍	bjbw
攽	bjfw
柈	bjmb
昄	bjoy
湴	bjdy
靽	bjgb
𨭉	bjwj
帮	bhfj
膀	bhof
邦	bhfe
棒	bhmf
绑	bhse
榜	bhmf
傍	bhrf
磅	bhuf
梆	bhme
镑	bhjf
谤	bhyf
蚌	bhif
浜	bhdb
