的	d
我	w
我	wqp
是	u
是	uuo
了	l
了	lev
你	n
在	z
和	h
都	dz
不	b
不	bya
有	y
就	j
也	yt
好	hb
个	g
个	gwp
人	r
说	uo
用	ya
他	t
这	v
来	lf
来	lfw
要	yx
去	q
会	hc
看	k
中	vs
中	vsk
想	x
没	m
啊	a
那	nl
吧	ba
给	gr
能	nh
对	dc
对	dcy
上	ug
上	ugb
到	dx
多	do
吗	ma
里	lp
里	lpt
被	bq
做	zi
又	ym
过	gi
让	rg
还	hf
她	ta
打	dd
把	bd
而	e
着	ve
大	dl
从	c
它	tab
写	xw
再	zs
再	zsa
字	zu
得	de
搞	gb
狗	gc
猫	mc
一	yi
真	vf
下	xz
但	dh
叫	jb
很	hh
比	bp
呢	ne
最	zc
更	gf
更	gfa
地	du
地	det
等	dj
吃	i
像	xk
后	hm
时	uoo
只	vp
点	dxd
先	xm
先	xme
话	hz
与	yn
快	kj
快	kjx
玩	wk
当	dhx
已	yp
问	wd
问	wdm
完	wkb
以	ypr
将	jl
将	jlj
将	jlp
您	nn
找	vb
爱	au
太	ts
谁	ue
才	cf
年	nz
年	nzr
新	xb
跟	gfz
别	bqd
学	xy
哇	wa
按	ab
哎	ai
前	qz
睡	uc
加	jx
加	jxk
所	s
所	sqj
为	we
为	wqd
可	kt
出	iu
出	iua
嗯	ng
该	gd
向	xkp
却	qr
哦	o
小	xza
天	tm
高	gcw
买	mg
买	mgv
呀	yak
刚	gh
事	uu
好	hxn
坏	hj
发	f
发	faf
发	fav
发	fay
全	qt
开	kd
万	wh
之	vi
心	xbd
帮	bh
回	hbk
得	drx
牛	nw
家	jxb
长	ij
月	yr
月	yry
卖	ms
岁	sc
成	ih
成	ihw
唉	auk
跑	p
走	zct
早	zb
连	lz
滴	di
越	yrz
无	wi
无	wia
无	wie
阿	aa
送	sa
分	ff
分	ffd
黑	hw
黑	hwh
额	er
妈	man
换	he
们	mf
难	nk
同	td
祝	vy
恩	en
干	gha
算	se
路	ly
并	bj
并	bjq
呗	bw
少	ub
猜	cd
放	fg
放	fgf
擦	ca
转	vyi
错	ci
脸	lx
脸	lxo
贴	tp
陪	pe
陪	pee
带	ds
笑	xbv
敢	gl
敢	gla
敢	glv
谱	po
拿	ns
二	ee
煮	vo
煮	voh
鸡	ji
鸡	jiy
或	hi
书	uua
每	mr
每	mrr
画	hza
坐	zit
咯	kdk
掉	db
讲	js
梦	mfm
冷	lj
花	hx
于	yb
手	ucp
手	ucu
咋	zd
哟	yo
爆	bx
站	vh
变	bn
看	kjo
看	kju
哥	ge
哥	gek
版	bl
水	un
水	unu
起	qp
图	ti
弄	na
弄	naw
住	vyr
啦	la
够	gm
够	gmx
咩	mp
累	lq
累	lqt
倒	dxr
肉	rm
肉	rmk
毛	mv
神	ugu
请	qa
拉	laf
肿	vfo
听	tk
内	nq
内	nqk
噢	oo
唱	ig
骂	ml
骂	mlm
装	vl
三	sj
蛮	mk
蛮	mky
腿	tn
正	vfa
瘦	um
卤	lo
卤	lob
卤	los
俺	az
俺	azr
老	lb
老	lbl
俩	lv
抱	bxf
忙	mj
超	ic
疼	th
胖	pg
喔	wo
车	ie
