缤	bbaa
濒	bbai
滨	bbao
髌	bbia
傧	bbio
镔	bbio
摈	bbiu
豳	bbiv
宾	bboo
斌	bbov
邠	bbuo
膑	bbuo
鬓	bbvi
槟	bbvo
殡	bbvu
玢	bbvv
彬	bbvv
骠	bcaa
骉	bcaa
瀌	bcao
婊	bcau
幖	bcia
蔈	bcii
藨	bcii
镖	bcio
镳	bcio
儦	bcio
摽	bciu
俵	bciv
彪	bciv
裱	bcoa
熛	bcou
瘭	bcov
飚	bcua
飑	bcua
鳔	bcua
脿	bcuv
膘	bcuv
髟	bcvi
飙	bcvu
杓	bcvu
表	bcvv
标	bcvv
别	bdoa
鳖	bdou
蹩	bdou
憋	bdou
瘪	bdov
绊	bfaa
阪	bfai
湴	bfao
办	bfau
蝂	bfia
伴	bfio
钣	bfio
扳	bfiu
拌	bfiu
扮	bfiu
搬	bfiu
昄	bfoi
粄	bfoo
半	bfou
瓣	bfov
瘢	bfov
癍	bfov
版	bfui
颁	bfuo
攽	bfuo
般	bfuu
舨	bfuu
靽	bfvi
坂	bfvo
板	bfvu
斑	bfvv
班	bfvv
屏	bgav
蛃	bgia
摒	bgiu
昺	bgoi
炳	bgou
并	bgou
冰	bgov
禀	bgov
病	bgov
饼	bgua
兵	bgui
秉	bguv
丙	bgvi
邴	bgvi
柄	bgvv
败	bhao
拜	bhiu
伯	bhiu
摆	bhiu
掰	bhiu
捭	bhiu
佰	bhiv
呗	bhoa
白	bhui
稗	bhuv
柏	bhvu
百	bhvu
蔀	bjii
卜	bjio
钚	bjio
堡	bjio
钸	bjio
捕	bjiu
步	bjiv
补	bjoa
晡	bjoi
卟	bjoi
怖	bjoo
哺	bjov
部	bjov
瓿	bjov
簿	bjuv
逋	bjvi
醭	bjvi
埠	bjvo
埗	bjvo
埔	bjvo
㘵	bjvo
布	bjvu
不	bjvu
纰	bkaa
陛	bkai
泌	bkao
赑	bkao
婢	bkau
濞	bkau
妼	bkau
妣	bkau
滗	bkau
壁	bkav
嬖	bkav
沘	bkav
辟	bkav
避	bkav
屄	bkav
襞	bkav
臂	bkav
璧	bkav
弼	bkav
睥	bkia
髀	bkia
畀	bkia
蓖	bkii
薜	bkii
苾	bkii
蔽	bkii
荸	bkii
萆	bkii
荜	bkii
铋	bkio
佖	bkio
俾	bkiu
裨	bkoa
邲	bkoa
诐	bkoa
必	bkoa
闭	bkoi
跸	bkoi
愎	bkoo
咇	bkoo
弊	bkou
鄙	bkou
敝	bkou
庇	bkov
哔	bkov
吡	bkov
痹	bkov
庳	bkov
匕	bkua
狴	bkua
鲾	bkua
币	bkui
鼻	bkui
贲	bkuo
彼	bkuu
舭	bkuu
秘	bkuv
箅	bkuv
馝	bkuv
篦	bkuv
笔	bkuv
秕	bkuv
筚	bkuv
毙	bkva
毖	bkva
比	bkva
毕	bkva
坒	bkva
逼	bkvo
皕	bkvu
觱	bkvu
碧	bkvv
珌	bkvv
驳	blaa
波	blaa
泊	blau
渤	blau
浡	blau
剥	blav
擘	blav
檗	blav
嶓	blia
薄	blii
菠	blii
蕃	blii
钵	blio
铂	blio
钹	blio
镈	blio
拨	bliu
播	bliu
搏	bliu
啵	bloa
袯	bloa
踣	bloi
跛	bloi
亳	blov
饽	blua
鲌	blua
帛	blui
魄	blui
勃	bluo
鹁	bluo
博	bluo
脖	bluu
舶	bluu
膊	bluv
箔	bluv
馞	bluv
簸	bluv
僰	blvi
欂	blvi
礴	blvu
桲	blvu
磻	blvu
砵	blvu
玻	blvv
编	bmaa
缏	bmaa
贬	bmao
汴	bmao
弁	bmao
边	bmau
蝙	bmia
苄	bmii
萹	bmii
