的	d
一	y
是	u
不	b
我	w
在	z
人	r
有	yz
他	t
这	v
个	g
你	n
说	us
上	ud
到	dv
就	j
大	di
没	m
发	f
那	ni
也	yl
了	l
去	q
和	h
或	hp
可	k
吗	ml
来	ld
地	dt
子	zg
请	qw
下	x
字	zt
出	i
时	ub
她	tl
要	yv
放	fd
看	ka
中	vk
但	da
么	mr
然	rp
里	lg
自	ztp
过	gp
得	de
级	jb
好	hx
天	tr
会	hf
还	hd
后	hr
以	yg
小	xl
对	df
想	xu
而	e
能	nf
及	jbp
起	qg
神	usu
空	kk
啊	a
嗯	ef
手	uz
机	jj
生	uc
头	ta
只	vg
样	yd
事	ut
家	jd
几	jg
加	jdl
多	ds
之	vj
面	ma
原	yo
知	vju
开	kb
如	rl
次	c
用	yy
记	jt
无	wl
很	ho
点	dp
前	qv
即	jbe
按	aa
经	je
老	lx
把	bm
些	xk
话	hg
已	yga
又	yr
声	ucu
意	yt
为	wk
为	wr
于	ym
回	hw
笑	xlv
所	s
基	jjt
眼	yoo
成	if
年	nv
女	ns
见	ja
真	ve
两	lu
做	zp
当	du
气	qt
从	cj
集	jbv
动	dy
国	gl
晒	uo
走	zz
让	rd
被	bk
问	wo
像	xe
给	gj
明	mn
儿	ek
正	vf
法	fm
打	dm
才	cd
间	jr
三	sn
计	jty
定	dw
此	cg
进	jv
行	xn
再	zo
种	vn
实	ubb
将	jy
最	zf
本	bo
向	xek
十	uba
学	xi
高	gq
同	tj
第	dtv
感	go
怎	zox
长	iw
连	lv
听	te
边	br
吧	bl
其	qb
却	qd
口	kz
作	zpr
因	yh
白	bd
分	fe
军	jgb
工	gk
外	wox
新	xh
光	gw
风	fc
主	vmw
住	vh
果	gla
全	qo
与	ys
二	eh
候	hrr
公	gks
提	tb
等	dyv
力	lt
觉	ji
死	sg
张	vu
部	bh
色	si
太	to
日	rt
理	lgw
直	vb
别	bs
忙	mw
积	jjh
脸	lp
比	bg
快	kf
相	xy
极	jbm
变	ba
何	he
水	uv
名	mnx
输	ua
东	dk
叫	jl
西	xj
王	ww
呢	nr
轻	qe
便	bar
位	wkr
关	gd
接	jk
越	ydz
先	xr
文	ws
常	iwj
完	wp
应	ye
重	vy
每	mj
更	gf
着	vr
四	st
飞	fi
并	bw
利	lth
师	uj
者	vl
清	qed
心	xhd
跟	ge
木	mh
月	ydo
信	xv
山	un
爱	ao
内	nk
龙	lj
谁	ur
带	do
难	np
认	ro
找	vx
入	rh
李	lgm
吃	ij
平	p
忘	wd
处	ih
使	ug
由	ya
少	ux
受	urv
都	dx
场	ip
命	mwr
目	mha
屎	ugu
男	npt
该	gb
路	lh
今	jh
海	hu
强	qi
远	ysz
活	hl
特	ti
电	daa
世	utc
性	xw
表	blf
它	tlb
改	gu
思	sj
立	ltd
黑	hi
金	jhr
车	ir
花	hs
总	zn
算	sc
城	ift
队	dfe
孩	hdz
反	fo
始	ugn
满	mo
任	ror
物	wh
离	lb
解	jc
非	fia
虽	stk
亲	qh
云	yf
红	hj
至	vt
失	ujp
火	hld
士	uta
五	wm
惊	jex
现	xa
码	mm
竟	jw
姐	jcn
乎	ha
剑	jad
往	wpx
万	wa
早	zx
望	wdw
怕	pi
流	lm
删	und
突	tax
坐	zpt
斯	sjj
音	yhl
指	vgf
仅	jx
半	bab
美	mjd
书	uaa
微	wi
步	bhv
喜	xg
够	gr
影	yw
冷	ly
道	dvz
通	tk
告	gv
且	qc
似	str
象	xed
容	rj
怪	gfx
钱	qvj
马	mma
季	jth
言	yp
落	lpc
随	sw
双	uw
击	jja
急	jbx
武	wmv
换	hc
紧	jxs
站	va
饭	fa
哪	nm
合	her
结	js
房	fw
安	an
管	gs
刻	ki
夜	yi
哥	grk
啥	uu
题	tbu
