serial number	character	token	ferquency(pre million)	total coverage rate(%)
1	的	76938354	40529.65053 	4.05297 
2	一	35278860	18584.22740 	5.91139 
3	了	34812434	18338.52313 	7.74524 
4	是	31422712	16552.88253 	9.40053 
5	不	29858097	15728.67333 	10.97340 
6	我	29569261	15576.52006 	12.53105 
7	在	19195987	10112.07810 	13.54226 
8	人	18435295	9711.36013 	14.51339 
9	有	17847013	9401.46445 	15.45354 
10	这	17648808	9297.05385 	16.38324 
11	他	17596473	9269.48478 	17.31019 
12	来	14837007	7815.85097 	18.09178 
13	个	14789406	7790.77567 	18.87085 
14	你	14221925	7491.83756 	19.62004 
15	说	12000460	6321.61236 	20.25220 
16	上	11918291	6278.32731 	20.88003 
17	到	11505436	6060.84321 	21.48612 
18	就	11305679	5955.61505 	22.08168 
19	着	11165468	5881.75458 	22.66985 
20	大	10828984	5704.50126 	23.24030 
21	们	10741873	5658.61285 	23.80616 
22	道	10625536	5597.32875 	24.36590 
23	那	9929703	5230.77726 	24.88898 
24	么	9727134	5124.06779 	25.40138 
25	也	9508702	5009.00200 	25.90228 
26	地	8804040	4637.79956 	26.36606 
27	子	8641973	4552.42577 	26.82131 
28	下	8550882	4504.44078 	27.27175 
29	出	8294943	4369.61702 	27.70871 
30	时	8207119	4323.35302 	28.14105 
31	看	8030267	4230.19077 	28.56407 
32	要	7944606	4185.06620 	28.98257 
33	她	7870163	4145.85105 	29.39716 
34	中	7680869	4046.13460 	29.80177 
35	没	7560391	3982.66910 	30.20004 
36	然	7339938	3866.53868 	30.58669 
37	里	7329328	3860.94954 	30.97279 
38	为	7309300	3850.39917 	31.35783 
39	过	7307184	3849.28450 	31.74275 
40	自	7261699	3825.32388 	32.12529 
41	好	7259684	3824.26241 	32.50771 
42	得	7186260	3785.58406 	32.88627 
43	去	7182400	3783.55068 	33.26463 
44	可	7069176	3723.90645 	33.63702 
45	会	6824927	3595.24076 	33.99654 
46	天	6797499	3580.79221 	34.35462 
47	还	6776145	3569.54334 	34.71157 
48	心	6555833	3453.48720 	35.05692 
49	后	6544446	3447.48874 	35.40167 
50	以	6523162	3436.27674 	35.74530 
51	小	6383822	3362.87510 	36.08159 
52	都	6342930	3341.33398 	36.41572 
53	和	6252031	3293.45012 	36.74507 
54	对	6195038	3263.42730 	37.07141 
55	想	6140550	3234.72407 	37.39488 
56	能	5933639	3125.72732 	37.70745 
57	起	5819918	3065.82128 	38.01404 
58	之	5373763	2830.79537 	38.29712 
59	手	5076179	2674.03382 	38.56452 
60	而	5075337	2673.59027 	38.83188 
61	只	5050153	2660.32383 	39.09791 
62	生	4966773	2616.40084 	39.35955 
63	什	4828364	2543.48963 	39.61390 
64	身	4819905	2539.03359 	39.86780 
65	头	4813712	2535.77124 	40.12138 
66	样	4769842	2512.66136 	40.37265 
67	事	4729336	2491.32358 	40.62178 
68	多	4617194	2432.24932 	40.86500 
69	己	4569251	2406.99387 	41.10570 
70	家	4546765	2395.14867 	41.34522 
71	面	4532962	2387.87752 	41.58401 
72	知	4397165	2316.34226 	41.81564 
73	开	4346834	2289.82885 	42.04462 
74	如	4308194	2269.47404 	42.27157 
75	无	4177289	2200.51580 	42.49162 
76	现	4161139	2192.00829 	42.71082 
77	很	3994436	2104.19234 	42.92124 
78	点	3978856	2095.98509 	43.13084 
79	前	3967855	2090.18998 	43.33986 
80	发	3946829	2079.11388 	43.54777 
81	经	3923454	2066.80038 	43.75445 
82	情	3879008	2043.38708 	43.95879 
83	把	3798288	2000.86533 	44.15888 
84	老	3762961	1982.25575 	44.35710 
85	些	3752167	1976.56967 	44.55476 
86	话	3744917	1972.75051 	44.75203 
87	已	3720796	1960.04403 	44.94804 
88	又	3710252	1954.48965 	45.14349 
89	声	3671271	1933.95521 	45.33688 
90	意	3668831	1932.66987 	45.53015 
91	于	3614992	1904.30851 	45.72058 
92	回	3608341	1900.80489 	45.91066 
93	笑	3577465	1884.54001 	46.09911 
94	所	3534172	1861.73408 	46.28529 
95	但	3505257	1846.50222 	46.46994 
96	眼	3495315	1841.26496 	46.65406 
97	成	3478315	1832.30969 	46.83730 
98	方	3471764	1828.85875 	47.02018 
99	年	3465446	1825.53054 	47.20273 
100	见	3460998	1823.18742 	47.38505 
101	当	3437226	1810.66479 	47.56612 
102	女	3362646	1771.37747 	47.74326 
103	真	3314815	1746.18102 	47.91788 
104	两	3302466	1739.67580 	48.09184 
105	力	3298612	1737.64559 	48.26561 
106	气	3227369	1700.11614 	48.43562 
107	从	3173776	1671.88438 	48.60281 
108	用	3170468	1670.14179 	48.76982 
109	长	3100060	1633.05220 	48.93313 
110	动	3073269	1618.93922 	49.09502 
111	间	3067939	1616.13147 	49.25663 
112	国	3063867	1613.98642 	49.41803 
113	走	3020224	1590.99613 	49.57713 
114	让	2999423	1580.03856 	49.73514 
115	被	2998064	1579.32266 	49.89307 
116	给	2939384	1548.41116 	50.04791 
117	正	2933903	1545.52388 	50.20246 
118	问	2899681	1527.49638 	50.35521 
119	打	2882337	1518.35990 	50.50705 
120	明	2864492	1508.95949 	50.65794 
121	儿	2850098	1501.37701 	50.80808 
122	法	2798486	1474.18880 	50.95550 
123	才	2774963	1461.79733 	51.10168 
124	几	2760667	1454.26647 	51.24711 
125	行	2756706	1452.17989 	51.39232 
126	三	2747794	1447.48522 	51.53707 
127	定	2738825	1442.76053 	51.68135 
128	此	2725965	1435.98612 	51.82495 
129	进	2706350	1425.65332 	51.96751 
130	再	2681503	1412.56440 	52.10877 
131	种	2653924	1398.03631 	52.24857 
132	将	2629219	1385.02219 	52.38708 
133	实	2616492	1378.31785 	52.52491 
134	同	2614683	1377.36490 	52.66264 
135	最	2582957	1360.65225 	52.79871 
136	本	2579524	1358.84381 	52.93459 
137	向	2570964	1354.33457 	53.07003 
138	分	2568782	1353.18513 	53.20535 
139	十	2567177	1352.33965 	53.34058 
140	学	2566533	1352.00040 	53.47578 
141	高	2565932	1351.68381 	53.61095 
142	第	2558818	1347.93629 	53.74574 
