𠼞	al;hy
𨉚	al;uy
錒	al;ja
锕	al;ja
啊	al;ka
啊	au;ka
啊	am;ka
啊	ai;ka
啊	al;ka
阿	al;ek
阿	er;ek
𥥩	al;xx
𥥩	xe;xx
腌	al;oy
腌	yn;oy
𠊎	ad;rg
𤸳	ad;bq
𦩴	ad;vq
𧪚	ad;yq
𩪂	ad;gq
𩮖	ad;iq
𪺾	ad;;
㱯	ad;dq
䶣	ad;iq
凒	ad;dq
啀	ad;ky
嘊	ad;ky
捱	ad;fy
敳	ad;wq
溰	ad;dq
癌	ad;bu
皑	ad;bq
皚	ad;bq
𡁍	ao;hq
𡏖	ao;th
𡰽	ao;uy
𡶃	ao;uy
𢖻	ao;xw
𢙴	ao;xw
𢟰	ao;xu
𢣏	ao;xg
𣋞	ao;og
𣜬	ao;ma
𣝅	ao;my
𤢵	ao;ql
𤻢	ao;by
𥡽	ao;hw
𥤦	ao;xy
𥴨	ao;va
𦗍	ao;ep
𦗐	ao;eu
𧏹	ao;iu
𧓁	ao;ia
𧰸	ao;up
𧰿	ao;ua
𧵨	ao;ba
𨶂	ao;my
𨽝	ao;po
𩈋	ao;mj
𪇈	ao;an
𪕭	ao;uh
𪵇	ao;dl
㕌	ao;id
㗒	ao;ka
㘷	ao;ta
㤅	ao;xj
㿄	ao;by
䔽	ao;ck
䝽	ao;by
䬵	ao;uh
伌	ao;re
僾	ao;ra
叆	ao;ya
塧	ao;ty
壒	ao;tm
嫒	ao;na
嬡	ao;na
愛	ao;xw
懓	ao;xa
暧	ao;oa
曖	ao;oa
爱	ao;vy
瑷	ao;wa
璦	ao;wa
皧	ao;ba
瞹	ao;oa
砹	ao;ua
硋	ao;uh
碍	ao;uc
礙	ao;uy
薆	ao;ca
譺	ao;yy
賹	ao;by
鑀	ao;ja
隘	ao;ey
靉	ao;ya
餲	ao;uh
馤	ao;xh
鱫	ao;ya
鴱	ao;na
𠼮	au;kw
𣤃	au;qn
𦥂	au;vk
𦥈	au;vb
𩫇	au;bg
𫎽	au;zh
㗨	au;ky
㢊	au;yq
䨠	au;yh
昹	au;oy
毐	au;wu
矮	au;uw
蔼	au;cy
藹	au;cy
譪	au;yg
躷	au;uw
霭	au;yy
靄	au;yy
𠳳	ab;kd
𡉓	ab;tn
𡟓	ab;na
𢰇	ab;fs
𤸖	ab;ba
哀	ab;yk
哎	ab;ka
埃	ab;ty
溾	ab;dg
銰	ab;ja
鎄	ab;ja
锿	ab;ja
挨	ab;fy
挨	ad;fy
唉	ab;ku
唉	ao;ku
嗳	au;ka
嗳	ao;ka
嗳	ab;ka
噯	au;ka
噯	ao;ka
噯	ab;ka
娾	au;ny
娾	ad;ny
娾	ei;ny
𢣕	ao;yx
𢣕	ij;yx
㝶	ao;cs
㝶	de;cs
濭	au;dm
濭	ko;dm
濭	ki;dm
𣩱	ao;dg
𣩱	kr;dg
䀳	ao;ou
䀳	li;ou
䀳	lo;ou
磑	ad;uq
磑	wk;uq
𢟪	ao;jx
𢟪	xt;jx
䑂	au;oy
䑂	xt;oy
𧡋	au;jg
𧡋	yu;jg
䅬	ao;hy
䅬	yo;hy
䅬	yi;hy
㑸	au;rk
㑸	yi;rk
㑸	ya;rk
艾	ao;ci
艾	yt;ci
懝	ao;xy
懝	yt;xy
懝	ng;xy
敱	ad;uy
敱	vl;uy
𡪁	ap;bh
𡽜	ap;uy
𣵱	ap;dr
䜙	ap;yx
雸	ap;yg
𠰑	aa;kg
𡎑	aa;ty
𡪙	aa;am
𣣚	aa;yq
𣽥	aa;dh
𤞿	aa;qa
𤟉	aa;qa
𥏮	aa;uy
𥳬	aa;vh
𧖮	aa;xo
𨲊	aa;ia
𩓤	aa;ay
𩭢	aa;ia
𩹎	aa;yy
㟁	aa;ua
㸩	aa;ng
䅁	aa;ha
堓	aa;ta
屵	aa;ui
岸	aa;ug
按	aa;fa
暗	aa;oy
案	aa;ma
胺	aa;oa
荌	aa;ca
豻	aa;vg
貋	aa;vh
錌	aa;ja
闇	aa;my
隌	aa;ey
黯	aa;hy
𤃷	ao;dy
𤜁	ao;mg
𦺽	ao;cy
𩅝	ao;yy
𩈴	ao;my
䅖	ao;hy
俺	ao;ry
唵	ao;ky
垵	ao;ta
埯	ao;ty
揞	ao;fy
罯	ao;sy
銨	ao;ja
铵	ao;ja
𠽪	an;ky
𡯏	an;yd
𢰍	an;fh
𣚖	an;my
𧩸	an;yy
𧫥	an;ya
𧮍	an;yy
𩽾	an;ya
𪘒	an;ih
侒	an;ra
偣	an;ry
媕	an;ny
安	an;bn
峖	an;ua
庵	an;gy
桉	an;ma
氨	an;qa
盦	an;my
盫	an;my
腤	an;oy
菴	an;cy
萻	an;cy
葊	an;cy
蓭	an;ca
誝	an;yh
諳	an;yy
谙	an;yy
鞌	an;ga
鞍	an;ga
韽	an;yy
馣	an;xy
鮟	an;ya
鵪	an;ny
鶕	an;ny
鹌	an;ny
儑	ap;rs
儑	aa;rs
㜝	ao;ny
㜝	aa;ny
啽	an;ky
啽	ap;ky
𧫧	an;yy
𧫧	aa;yy
晻	aa;oy
晻	ao;oy
晻	yo;oy
䬓	aa;fy
䬓	ap;fy
玵	ap;wg
玵	gn;wg
䎏	aa;yh
䎏	hp;yh
𪁟	an;hn
𪁟	ha;hn
䮗	aa;ma
䮗	no;ma
䮗	ya;ma
䯥	aa;gx
䯥	qt;gx
𣆛	aa;xo
𣆛	wo;xo
𡹼	aa;uy
𡹼	yo;uy
㱘	aa;vy
㱘	yo;vy
𠉬	ao;ri
𠉬	yo;ri
𥦍	ao;xc
𥦍	yo;xc
洝	aa;da
洝	ya;da
洝	ei;da
䎨	aa;ly
䎨	yi;ly
㽢	ao;ty
㽢	yi;ty
痷	an;by
痷	yi;by
痷	ei;by
䁆	ao;oy
䁆	yt;oy
𤭒	aw;dw
𩑝	aw;ay
𩔘	aw;yy
𪸺	aw;ha
㭿	aw;ma
䀚	aw;oa
䩕	aw;ga
䭺	aw;mk
岇	aw;uy
昂	aw;oe
昻	aw;oq
𠹃	ad;ka
𡵙	ad;ua
𢓋	ad;xa
𣉗	ad;oa
𣖮	ad;ma
𩉰	ad;gj
𩜟	ad;ua
枊	ad;me
盎	ad;my
醠	ad;ya
𦫫	ap;ws
𠵫	au;ka
𡕉	au;jk
肮	au;ok
骯	au;gk
䭹	aw;ma
䭹	ad;ma
㼜	ad;wy
㼜	pa;wy
䍩	ap;yw
䍩	yp;yw
㦹	ad;gy
㦹	yw;gy
㦹	yw;gy
䒢	aw;ca
䒢	yw;ca
𡊛	ai;tq
𡏼	ai;ta
𢧴	ai;ag
𣊁	ai;ao
𣷫	ai;df
𤎅	ai;ha
𥂢	ai;am
𦒢	ai;yg
𦪈	ai;va
𩘮	ai;af
