𠼞	alhy
𨉚	aluy
錒	alja
锕	alja
啊	alka
啊	auka
啊	amka
啊	aika
啊	amka
阿	alek
阿	erek
𥥩	alxx
𥥩	xexx
腌	aloy
腌	ynoy
𠊎	adrg
𤸳	adbq
𦩴	advq
𧪚	adyq
𩪂	adgq
𩮖	adiq
𪺾	ad
㱯	addq
䶣	adiq
凒	addq
啀	adky
嘊	adky
捱	adfy
敳	adwq
溰	addq
癌	adbu
皑	adbq
皚	adbq
𡁍	aohq
𡏖	aoth
𡰽	aouy
𡶃	aouy
𢖻	aoxw
𢙴	aoxw
𢟰	aoxu
𢣏	aoxg
𣋞	aoog
𣜬	aoma
𣝅	aomy
𤢵	aoql
𤻢	aoby
𥡽	aohw
𥤦	aoxy
𥴨	aova
𦗍	aoep
𦗐	aoeu
𧏹	aoiu
𧓁	aoia
𧰸	aoup
𧰿	aoua
𧵨	aoba
𨶂	aomy
𨽝	aopo
𩈋	aomj
𪇈	aoan
𪕭	aouh
𪵇	aodl
㕌	aoid
㗒	aoka
㘷	aota
㤅	aoxj
㿄	aoby
䔽	aock
䝽	aoby
䬵	aouh
伌	aore
僾	aora
叆	aoya
塧	aoty
壒	aotm
嫒	aona
嬡	aona
愛	aoxw
懓	aoxa
暧	aooa
曖	aooa
爱	aovy
瑷	aowa
璦	aowa
皧	aoba
瞹	aooa
砹	aoua
硋	aouh
碍	aouc
礙	aouy
薆	aoca
譺	aoyy
賹	aoby
鑀	aoja
隘	aoey
靉	aoya
餲	aouh
馤	aoxh
鱫	aoya
鴱	aona
𠼮	aukw
𣤃	auqn
𦥂	auvk
𦥈	auvb
𩫇	aubg
𫎽	auzh
㗨	auky
㢊	auyq
䨠	auyh
昹	auoy
毐	auwu
矮	auuw
蔼	aucy
藹	aucy
譪	auyg
躷	auuw
霭	auyy
靄	auyy
𠳳	abkd
𡉓	abtn
𡟓	abna
𢰇	abfs
𤸖	abba
哀	abyk
哎	abka
埃	abty
溾	abdg
銰	abja
鎄	abja
锿	abja
挨	abfy
挨	adfy
唉	abku
唉	aoku
嗳	auka
嗳	aoka
嗳	abka
噯	auka
噯	aoka
噯	abka
娾	auny
娾	adny
娾	einy
𢣕	aoyx
𢣕	ijyx
㝶	aocs
㝶	decs
濭	audm
濭	kodm
濭	kidm
𣩱	aodg
𣩱	krdg
䀳	aoou
䀳	liou
䀳	loou
磑	aduq
磑	wkuq
𢟪	aojx
𢟪	xtjx
䑂	auoy
䑂	xtoy
𧡋	aujg
𧡋	yujg
䅬	aohy
䅬	yohy
䅬	yihy
㑸	aurk
㑸	yirk
㑸	yark
艾	aoci
艾	ytci
懝	aoxy
懝	ytxy
懝	ngxy
敱	aduy
敱	vluy
𡪁	apbh
𡽜	apuy
𣵱	apdr
䜙	apyx
雸	apyg
𠰑	aakg
𡎑	aaty
𡪙	aaam
𣣚	aayq
𣽥	aadh
𤞿	aaqa
𤟉	aaqa
𥏮	aauy
𥳬	aavh
𧖮	aaxo
𨲊	aaia
𩓤	aaay
𩭢	aaia
𩹎	aayy
㟁	aaua
㸩	aang
䅁	aaha
堓	aata
屵	aaui
岸	aaug
按	aafa
暗	aaoy
案	aama
胺	aaoa
荌	aaca
豻	aavg
貋	aavh
錌	aaja
闇	aamy
隌	aaey
黯	aahy
𤃷	aody
𤜁	aomg
𦺽	aocy
𩅝	aoyy
𩈴	aomy
䅖	aohy
俺	aory
唵	aoky
垵	aota
埯	aoty
揞	aofy
罯	aosy
銨	aoja
铵	aoja
𠽪	anky
𡯏	anyd
𢰍	anfh
𣚖	anmy
𧩸	anyy
𧫥	anya
𧮍	anyy
𩽾	anya
𪘒	anih
侒	anra
偣	anry
媕	anny
安	anbn
峖	anua
庵	angy
桉	anma
氨	anqa
盦	anmy
盫	anmy
腤	anoy
菴	ancy
萻	ancy
葊	ancy
蓭	anca
誝	anyh
諳	anyy
谙	anyy
鞌	anga
鞍	anga
韽	anyy
馣	anxy
鮟	anya
鵪	anny
鶕	anny
鹌	anny
儑	aprs
儑	aars
㜝	aony
㜝	aany
啽	anky
啽	apky
𧫧	anyy
𧫧	aayy
晻	aaoy
晻	aooy
晻	yooy
䬓	aafy
䬓	apfy
玵	apwg
玵	gnwg
䎏	aayh
䎏	hpyh
𪁟	anhn
𪁟	hahn
䮗	aama
䮗	noma
䮗	yama
䯥	aagx
䯥	qtgx
𣆛	aaxo
𣆛	woxo
𡹼	aauy
𡹼	youy
㱘	aavy
㱘	yovy
𠉬	aori
𠉬	yori
𥦍	aoxc
𥦍	yoxc
洝	aada
洝	yada
洝	eida
䎨	aaly
䎨	yily
㽢	aoty
㽢	yity
痷	anby
痷	yiby
痷	eiby
䁆	aooy
䁆	ytoy
𤭒	awdw
𩑝	away
𩔘	awyy
𪸺	awha
㭿	awma
䀚	awoa
䩕	awga
䭺	awmk
岇	awuy
昂	awoe
昻	awoq
𠹃	adka
𡵙	adua
𢓋	adxa
𣉗	adoa
𣖮	adma
𩉰	adgj
𩜟	adua
枊	adme
盎	admy
醠	adya
𦫫	apws
𠵫	auka
𡕉	aujk
肮	auok
骯	augk
䭹	awma
䭹	adma
㼜	adwy
㼜	pawy
䍩	apyw
䍩	ypyw
㦹	adgy
㦹	ywgy
㦹	ywgy
䒢	awca
䒢	ywca
𡊛	aitq
𡏼	aita
𢧴	aiag
𣊁	aiao
𣷫	aidf
𤎅	aiha
𥂢	aiam
𦒢	aiyg
𦪈	aiva
𩘮	aiaf
𩮯	aiia
𩱏	aiga
㟼	aiua
㠂	aiua
㿰	aipj
䦋	aiia
䵅	aima
厫	aiiw
嗷	aikw
嗸	aikw
廒	aigw
敖	aiwp
滶	aidw
獒	aiqw
獓	aiqw
璈	aiww
翱	aiyu
翶	aiyu
翺	aiyu
聱	aiea
蔜	aicw
螯	aiiw
謷	aiyw
謸	aiyw
遨	aizw
鏖	ailj
隞	aiew
骜	aimw
鰲	aiyw
鳌	aiyw
鷔	ainw
鼇	aimw
𢕟	avxa
𤺾	avba
𥑑	avuy
𩑍	avyg
𩕀	avya
𩟇	avua
㘬	avtg
㘭	avth
㜜	avna
㜩	avna
㥿	avxa
䜒	avya
䫨	avya
䮯	avma
傲	avrw
坳	avty
垇	avta
墺	avta
奡	avdd
嫯	avnw
岙	avyu
岰	avuy
嶴	avua
懊	avxa
擙	avfa
澳	avda
鏊	avjw
驁	avmw
𢁱	axjy
𢲷	axfj
𥜌	axua
𦽀	axcy
𩑤	axwy
𩣻	axmy
㑃	axry
䴈	axna
媪	axnw
媼	axnw
芺	axcy
袄	axyy
襖	axya
镺	axiy
𠱃	aqka
𤏶	aqhy
𧅃	aqch
𧨲	aqyu
𪃨	aqyn
爊	aqhh
嶅	aiuw
嶅	avuw
䐿	aioa
䐿	axoa
䥝	aijy
