吖	〔口丫ky〕
呵	〔口可kk〕
啊	〔口可kk〕
嗄	〔口夂kw〕
腌	〔⺼电od〕
錒	〔金可jk〕
锕	〔钅可jk〕
阿	〔⻖可ek〕
𠼞	〔𠆢亞ry〕
𥥩	〔宀口bk〕
𨉚	〔身电ud〕
㑸	〔亻可rk〕
㕌	〔厂寸ic〕
㗒	〔口口kk〕
㗨	〔匚口kk〕
㘷	〔土乂tx〕
㝶	〔⺫寸sc〕
㢊	〔广可gk〕
㤅	〔旡心wx〕
㱯	〔歹䒑db〕
㿄	〔疒殳bu〕
䀳	〔目束ou〕
䅬	〔禾皿hm〕
䑂	〔⺼八ob〕
䔽	〔艹人cr〕
䝽	〔貝土bt〕
䨠	〔雨人yr〕
䬵	〔飠人ur〕
䶣	〔止䒑vb〕
伌	〔亻㔾rv〕
僾	〔亻夂rw〕
凒	〔冫䒑db〕
叆	〔云又yy〕
哀	〔衣口yk〕
哎	〔口乂kx〕
唉	〔口矢ku〕
啀	〔口土kt〕
嗌	〔口皿km〕
嗳	〔口又ky〕
嘊	〔口土kt〕
噯	〔口夂kw〕
埃	〔土矢tu〕
堨	〔土人tr〕
塧	〔土皿tm〕
壒	〔土皿tm〕
娭	〔女矢nu〕
娾	〔女土nt〕
嫒	〔女又ny〕
嬡	〔女夂nw〕
嵦	〔山䒑ub〕
愛	〔爫夂vw〕
懓	〔忄夂xw〕
懝	〔忄疋xz〕
挨	〔扌矢fu〕
捱	〔扌土ft〕
敱	〔山又uy〕
敳	〔山攵uw〕
昹	〔日永oy〕
暧	〔日又oy〕
曖	〔日夂ow〕
欬	〔亠欠wq〕
欸	〔厶欠sq〕
毐	〔士毋tm〕
溰	〔氵䒑db〕
溾	〔氵鬼dg〕
濭	〔氵皿dm〕
焥	〔火㔾hv〕
爱	〔爫又vy〕
瑷	〔𤣩又wy〕
璦	〔𤣩夂ww〕
癌	〔疒山bu〕
皑	〔白己bj〕
皚	〔白䒑bb〕
皧	〔白夂bw〕
瞹	〔目夂ow〕
矮	〔矢女un〕
砹	〔石乂ux〕
硋	〔石人ur〕
硙	〔石己uj〕
碍	〔石寸uc〕
磑	〔石䒑ub〕
礙	〔石疋uz〕
絠	〔糹月so〕
艾	〔艹乂cx〕
蔼	〔艹人cr〕
薆	〔艹夂cw〕
藹	〔艹人cr〕
諰	〔訁心yx〕
譪	〔訁人yr〕
譺	〔訁疋yz〕
賹	〔貝皿bm〕
躷	〔身女un〕
銰	〔金乂jx〕
鎄	〔金口jk〕
鑀	〔金夂jw〕
锿	〔钅口jk〕
隑	〔⻖䒑eb〕
隘	〔⻖皿em〕
霭	〔雨人yr〕
靄	〔雨人yr〕
靉	〔雨夂yw〕
餲	〔飠人ur〕
馤	〔禾人hr〕
鱫	〔魚夂yw〕
鴱	〔艹鳥cn〕
𠊎	〔亻土rt〕
𠳳	〔口木km〕
𡁍	〔口欠kq〕
𡉓	〔土女tn〕
𡟓	〔女口nk〕
𡰽	〔尸尤uy〕
𡶃	〔山乙uv〕
𢟪	〔{艮}心gx〕
𢟰	〔忄𧰨xu〕
𢣏	〔忄皿xm〕
𢣕	〔匕心bx〕
𢰇	〔扌矢fu〕
𣋞	〔日皿om〕
𣜬	〔木夂mw〕
𣝅	〔木疋mz〕
𣤃	〔匕乃bn〕
𣩄	〔歹皿dm〕
𣩱	〔歹皿dm〕
𤢵	〔犭丶qd〕
𤸖	〔疒口bk〕
𤸳	〔疒䒑bb〕
𤻢	〔疒又by〕
𥡽	〔禾夂hw〕
𥤦	〔宀又by〕
𥴨	〔竹夂vw〕
𦗍	〔耳方ef〕
𦗐	〔耳𧰨eu〕
𦤦	〔自人zr〕
𦥂	〔土土tt〕
𦥈	〔⺷土yt〕
𦩴	〔舟䒑vb〕
𧏹	〔虫𧰨iu〕
𧓁	〔虫夂iw〕
𧡋	〔厂見ij〕
𧪚	〔訁䒑yb〕
𧰿	〔豕乂ux〕
𧵨	〔貝女bn〕
𨶂	〔門皿mm〕
𩂒	〔雨巳ys〕
𩂢	〔雨{水}yu〕
𩈋	〔面介mj〕
𩪂	〔冎䒑gb〕
𩫇	〔不口bk〕
𩮖	〔E䒑eb〕
𪇈	〔爫鳥vn〕
𪕭	〔臼人jr〕
㜝	〔女酉ny〕
㟁	〔山干ug〕
㱘	〔厂止iv〕
㸩	〔牜干ng〕
㽢	〔田电td〕
䁆	〔目电od〕
䅁	〔宀禾bh〕
䅖	〔禾电hd〕
䎏	〔𠆢习rx〕
䎨	〔耒电ld〕
䜙	〔訁灬yh〕
䨄	〔𠆢{隹右}rv〕
䬓	〔風日fo〕
䮗	〔馬干mg〕
䯥	〔冎灬gh〕
侒	〔亻女rn〕
俺	〔亻电rd〕
偣	〔亻日ro〕
儑	〔亻灬rh〕
厂	〔一丿ap〕
厈	〔厂干ig〕
咹	〔口女kn〕
唵	〔口电kd〕
啽	〔口廾kc〕
垵	〔土女tn〕
埯	〔土电td〕
堓	〔土干tg〕
媕	〔女廾nc〕
安	〔宀女bn〕
屵	〔山厂ui〕
屽	〔山干ug〕
岸	〔山干ug〕
峖	〔山女un〕
广	〔丶厂di〕
庵	〔广电gd〕
按	〔扌女fn〕
揞	〔扌日fo〕
晻	〔日电od〕
暗	〔日日oo〕
案	〔宀木bm〕
桉	〔木女mn〕
氨	〔气女qn〕
洝	〔氵女dn〕
犴	〔犭干qg〕
玵	〔𤣩甘wg〕
痷	〔疒电bd〕
盦	〔𠆢皿rm〕
盫	〔𠆢皿rm〕
罯	〔罒日so〕
胺	〔⺼女on〕
腤	〔⺼日oo〕
荌	〔艹女cn〕
菴	〔艹电cd〕
萻	〔艹日co〕
葊	〔艹廾cc〕
蓭	〔艹电cd〕
裺	〔衤电pd〕
誝	〔訁口yk〕
諳	〔訁日yo〕
谙	〔讠日yo〕
豻	〔豸干vg〕
貋	〔豸干vg〕
銨	〔金女jn〕
錌	〔金干jg〕
铵	〔钅女jn〕
闇	〔門日mo〕
隌	〔⻖日eo〕
雸	〔雨甘yg〕
鞌	〔宀革bg〕
鞍	〔革女gn〕
韽	〔𠆢日ro〕
馣	〔禾电hd〕
鮟	〔魚女yn〕
鵪	〔大鳥dn〕
鶕	〔立鳥ln〕
鹌	〔大鸟dn〕
黯	〔{里}日lo〕
𠉬	〔亻厂ri〕
𠪚	〔厂攵iw〕
𠰑	〔口干kg〕
𠽪	〔口日ko〕
𠿑	〔口心kx〕
𡎑	〔土彡tp〕
𡪁	〔宀口bk〕
𡪙	〔宀月bo〕
𡯏	〔尢斗yd〕
𡹼	〔山口uk〕
𡽜	〔山口uk〕
𢰍	〔扌火fh〕
𣆛	〔覀日xo〕
𣚖	〔木电md〕
𣣚	〔大欠dq〕
𣵱	〔氵王dw〕
𣽥	〔氵頁dy〕
𤃷	〔氵日do〕
𤜁	〔厶心sx〕
𤞿	〔犭犬qq〕
𤟉	〔犭干qg〕
𥏮	〔矢日uo〕
𥦍	〔宀廾bc〕
𥳬	〔竹灬vh〕
𦺽	〔艹电cd〕
𧖮	〔丿日po〕
𧩸	〔訁廾yc〕
𧫥	〔訁电yd〕
𧫧	〔訁酉yy〕
𧮍	〔訁日yo〕
𨲊	〔E干eg〕
𩅝	〔雨电yd〕
𩈴	〔面日mo〕
𩓤	〔山頁uy〕
𩭢	〔E干eg〕
𩹎	〔魚日yo〕
𩽾	〔鱼女yn〕
𪁟	〔𠆢鳥rn〕
𪒠	〔{里}攵lw〕
𪘒	〔止口vk〕
㦹	〔日戈og〕
㭿	〔木卩me〕
㼜	〔央瓦yw〕
䀚	〔目卩oe〕
䍩	〔{羊}攵yw〕
䒢	〔艹卩ce〕
䩕	〔革卩ge〕
䭹	〔馬卩me〕
䭺	〔馬几mj〕
仰	〔亻卩re〕
卬	〔丿卩pe〕
岇	〔山卩ue〕
昂	〔日卩oe〕
昻	〔日卩oe〕
枊	〔木卩me〕
盎	〔央皿ym〕
肮	〔⺼几oj〕
醠	〔酉皿ym〕
骯	〔冎几gj〕
𠵫	〔口卩ke〕
𠹃	〔口皿km〕
𡕉	〔士口tk〕
𡵙	〔山卩ue〕
𢓋	〔彳卩re〕
𣉗	〔日皿om〕
𣖮	〔木皿mm〕
𤭒	〔良瓦lw〕
𦫫	〔公巴gb〕
𨋕	〔車卩ie〕
𩉰	〔革巾gj〕
𩑝	〔丿頁py〕
𩔘	〔龴頁sy〕
𩜟	〔飠卩ue〕
㑃	〔亻力rl〕
㕭	〔口夭ky〕
㘬	〔土勾tg〕
㘭	〔土𠃌tv〕
㜜	〔女攵nw〕
㜩	〔女大nd〕
㟼	〔山攵uw〕
㠂	〔山攵uw〕
㠗	〔山大ud〕
㤇	〔忄夭xy〕
㥿	〔龶心fx〕
㿰	〔亠皮wp〕
䐿	〔⺼大od〕
䚫	〔白用by〕
䜒	〔訁大yd〕
䞝	〔土玉ty〕
䥝	〔金匕jb〕
䦋	〔E攵ew〕
䫨	〔龶頁fy〕
䮯	〔馬攵mw〕
䯠	〔冎皿gm〕
䴈	〔丿鳥pn〕
䵅	〔龶{夊}fw〕
傲	〔亻攵rw〕
凹	〔丨一la〕
厫	〔厂攵iw〕
嗷	〔口攵kw〕
嗸	〔龶口fk〕
嚣	〔口口kk〕
坳	〔土力tl〕
垇	〔土凹ta〕
墺	〔土大td〕
墽	〔土攵tw〕
奡	〔𦣻{⿰丿丨}bl〕
奥	〔丿大pd〕
奧	〔丿大pd〕
媪	〔女皿nm〕
媼	〔女皿nm〕
嫯	〔龶女fn〕
岙	〔夭山yu〕
岰	〔山力ul〕
嶅	〔龶山fu〕
嶴	〔丿山pu〕
廒	〔广攵gw〕
慠	〔忄攵xw〕
懊	〔忄大xd〕
扷	〔扌夭fy〕
抝	〔扌𠃌fv〕
拗	〔扌力fl〕
摮	〔龶手fu〕
擙	〔扌大fd〕
敖	〔龶攵fw〕
柪	〔木力ml〕
梎	〔木匕mb〕
泑	〔氵力dl〕
滶	〔氵攵dw〕
澚	〔氵丂dk〕
澳	〔氵大dd〕
熝	〔火鹿hl〕
熬	〔龶灬fh〕
爊	〔火灬hh〕
獒	〔龶犬fq〕
獓	〔犭攵qw〕
璈	〔𤣩攵ww〕
眑	〔目力ol〕
磝	〔石攵uw〕
翱	〔白习bx〕
翶	〔白习bx〕
翺	〔自习zx〕
聱	〔龶耳fe〕
艹	〔一〢al〕
芺	〔艹夭cy〕
蔜	〔艹攵cw〕
螯	〔龶虫fi〕
袄	〔衤夭py〕
襖	〔衤大pd〕
謷	〔龶口fk〕
謸	〔訁攵yw〕
軪	〔車力il〕
遨	〔辶攵zw〕
郩	〔㐅⻏xe〕
鏊	〔龶金fj〕
鏕	〔金鹿jl〕
鏖	〔鹿金lj〕
镺	〔E夭ey〕
隞	〔⻖攵ew〕
隩	〔⻖大ed〕
驁	〔龶馬fm〕
骜	〔龶马fm〕
鰲	〔龶魚fy〕
鳌	〔龶鱼fy〕
鷔	〔龶鳥fn〕
鼇	〔龶电fd〕
𡊛	〔土去tq〕
𡏼	〔土攵tw〕
𡒃	〔丿土pt〕
𢁱	〔巾夭jy〕
𢕟	〔彳攵rw〕
𢧴	〔龶戈fg〕
𢲷	〔扌父ff〕
𢳆	〔扌攵fw〕
𣊁	〔龶日fo〕
𣷫	〔氵攵dw〕
𤇯	〔衣火yh〕
𤏶	〔火匕hb〕
𤺾	〔疒大bd〕
𥂢	〔龶皿fm〕
𥑑	〔石力ul〕
𥜌	〔示大ud〕
𦪈	〔龶舟fv〕
𦽀	〔艹頁cy〕
𧅃	〔艹灬ch〕
𧨲	〔⺌口xk〕
𨱧	〔E力el〕
𩈏	〔面力ml〕
𩑍	〔頁⺃yv〕
𩑤	〔午頁wy〕
𩕀	〔龶頁fy〕
𩘮	〔龶風ff〕
𩟇	〔飠大ud〕
𩣻	〔艹馬cm〕
𩥊	〔亠馬wm〕
𩮯	〔E攵ew〕
𩱏	〔龶鬲fg〕
𩼈	〔魚大yd〕
𪁾	〔艹鳥cn〕
𪃨	〔山鳥un〕
㔜	〔爫力vl〕
㖠	〔口示ku〕
㞎	〔尸巴ub〕
㧊	〔扌巾fj〕
㶚	〔氵月do〕
䃻	〔石月uo〕
䆉	〔禾匕hb〕
䇑	〔立十lu〕
䎬	〔耒去lq〕
䎱	〔耒匕lb〕
䟦	〔𧾷又zy〕
䥯	〔金匕jb〕
䩗	〔革月go〕
䩻	〔革馬gm〕
䰾	〔魚巴yb〕
䱝	〔魚十yu〕
䳁	〔鳥又ny〕
䳊	〔𠂇鳥un〕
丷	〔丶丿dp〕
仈	〔亻八rb〕
伯	〔亻白rb〕
八	〔丿乀pn〕
叐	〔丿又py〕
叭	〔口八kb〕
吧	〔口巴kb〕
哱	〔口子kz〕
