一	yjaa
乙	ygyy
二	ehaa
十	ubaa
丁	deaa
厂	ipap
七	qjag
卜	bpad
卜	bmad
八	blpd
人	rspd
入	rhpd
儿	ekpg
匕	bgpg
几	jjpy
几	jgpy
九	jzpy
刁	dmga
了	lrvu
了	llvu
刀	dqpg
力	ltgp
乃	nugp
又	yrad
三	snaa
干	gnaa
干	gaaa
于	ylaa
亏	kteg
工	gkaa
土	tmaa
士	utaa
才	cdap
下	xxad
寸	crad
大	diad
大	doad
丈	vdad
与	ymaa
与	yhaa
万	mgap
万	waap
上	upba
上	udba
小	xlad
口	kzaa
山	unaa
巾	jhaa
千	qrpa
乞	qgyr
川	idpa
亿	ytry
个	glpa
个	gipa
夕	xjpd
久	jzdd
么	mrps
勺	uigd
凡	fpjd
丸	wppd
及	jbpd
广	gudp
亡	wwdv
门	msdg
丫	ylda
义	ytid
之	vjdd
尸	ujvp
己	jgvg
已	ygag
巳	stvg
弓	gkvg
子	zgvh
卫	wkga
也	ylgg
女	nsvh
刃	rodd
飞	fiyd
习	xbga
叉	ilyd
叉	iuyd
叉	imyd
叉	iiyd
马	mmvh
乡	xyvp
丰	fcaa
王	wwaa
开	kbac
井	jwep
天	trad
夫	faer
元	yoee
无	meee
无	wlee
云	yfse
专	vdfs
丐	goag
扎	zlfg
扎	vlfg
扎	vufg
艺	ytcy
木	mhad
五	wmaa
支	vjuy
厅	teid
不	bhax
犬	qsad
太	todd
区	oxki
区	qaki
历	ltil
歹	duax
友	yzuy
尤	yayd
匹	pgke
车	iraa
车	jaaa
巨	jhaa
牙	yuap
屯	tfag
戈	grad
比	bgbb
互	hhev
切	qkqd
切	qqqd
瓦	wmad
瓦	wiad
止	vgaa
少	uxxp
少	uvxp
曰	yuyt
日	rtri
中	vkka
中	vyka
贝	bkkr
冈	guki
内	nkkr
水	uvuv
见	jake
见	xake
午	wmur
牛	nmpa
手	uzub
气	qtry
毛	mipg
壬	rsqa
升	ucpc
夭	yqpd
长	iwpd
长	vppd
仁	rsre
什	usru
什	ubru
片	prpv
片	papv
仆	parb
仆	plrb
化	hgrb
仇	iarj
仇	qmrj
币	btpj
仍	rfrn
仅	jxry
斤	jhpa
爪	vxpd
爪	vgpd
反	fopy
介	jqrd
父	fhpd
从	cjrr
仑	lfrb
今	jhrv
凶	xpki
分	fedb
分	fodb
乏	fupv
公	gkbs
仓	cure
月	ydyt
氏	utpg
氏	vjpg
勿	whgp
欠	qadr
风	fcji
丹	dnpd
匀	yfgd
乌	wapa
勾	gxgs
勾	grgs
凤	ffjy
六	lodd
文	wsdd
亢	kdwj
方	fuwd
火	hldd
为	wrdd
为	wkdd
斗	dzdu
斗	drdu
忆	ytxy
计	jtyu
订	dwyd
户	hhdu
认	royr
冗	rnbj
讥	jjyj
心	xhdd
尺	ilvd
尺	igvd
引	yxga
丑	izvt
巴	blvg
孔	knzg
队	dfer
办	balb
以	ygry
允	yose
予	ylaa
予	ymaa
邓	dfye
劝	qcyl
双	uwyy
书	uavd
幻	hcyg
玉	yhwd
刊	kndg
未	wkad
末	mgam
示	utad
击	jjfk
打	dufd
打	dmfd
巧	qlgk
正	vcav
正	vfav
扑	pafb
卉	hfuc
扒	blfb
扒	pufb
功	gklg
扔	rcfn
去	qhts
甘	gnca
世	utaa
艾	aoci
艾	ytci
古	gmuk
节	jkce
节	jsce
本	boma
术	uhmd
术	vlmd
可	kldk
可	kidk
丙	bwan
左	zlug
厉	ltiw
石	dapk
石	ubpk
右	yruk
布	bhuj
夯	hudl
戊	whhd
龙	ljad
平	pngb
灭	mqah
轧	yiig
轧	vuig
东	dkqx
卡	kmub
卡	qnub
北	bjbj
占	vnbk
占	vabk
凸	taaa
卢	llbu
业	yiaa
旧	joao
帅	ufjd
归	gtdx
旦	daoa
目	mhmu
且	qcaa
叶	xsku
叶	yiku
甲	jnoa
申	ueoa
叮	dekd
电	daog
号	hikk
号	hvkk
田	tvaa
由	yaao
只	vjkb
只	vgkb
叭	blkb
史	ugki
央	yukd
兄	xpke
叽	jjkj
叼	dmkd
叫	jlkj
叩	krke
叨	dqkd
叨	dikd
叨	tqkd
另	lwkl
叹	taky
冉	rokt
皿	mxaa
凹	aqaa
囚	qmkr
四	stke
生	ucna
矢	ugrd
失	ujpf
乍	vire
禾	hepm
丘	qzja
付	fhrc
仗	vdrv
代	dory
仙	xrru
们	msrm
们	merm
仪	ybry
白	bdpo
仔	zurz
仔	zgrz
他	tlry
斥	itpd
瓜	gspd
乎	hapa
丛	cjra
令	lnrs
令	lwrs
令	lwrs
用	yykf
甩	uppg
印	yvpe
尔	euxd
乐	lipx
乐	ydpx
句	gxpk
句	jhpk
匆	ckpd
册	cipa
卯	mxme
犯	faqe
外	woxb
处	imwb
处	ihwb
冬	dkwd
鸟	nlpa
务	whwl
包	bqgs
饥	jjuj
主	vmdw
市	utdj
立	ltda
冯	ffdm
玄	xody
闪	uorm
兰	lpqe
半	babf
汁	vjdu
汇	hfdk
头	tadd
汉	hady
宁	nnbd
宁	nwbd
穴	xibb
它	tlbb
讨	txyc
写	xcby
让	rdyu
礼	lgug
训	xryi
议	ytyy
必	btxp
讯	xryx
记	jtyj
永	yndd
司	sjka
尼	nbub
民	mcvg
弗	flvu
弘	hjgs
出	iaaa
辽	luzl
奶	nunn
奴	nlny
召	uvkd
召	vvkd
加	jdkl
皮	pbya
边	brzl
孕	yrzn
发	flyd
发	fiyd
圣	ufyt
对	dfyc
台	tbsk
台	tdsk
矛	mivp
纠	jzsj
母	mmvd
幼	yryl
丝	sjaa
邦	bufe
式	utyg
迂	yazy
刑	xndk
戎	rjgu
动	dyyl
扛	gufg
扛	kwfg
寺	sttc
吉	jbuk
扣	krfk
考	kxlk
托	tsft
老	lxlb
巩	gngf
圾	jjtj
执	vbfw
扩	kpfg
扫	sxfx
扫	svfx
地	drty
地	dtty
场	iwty
场	ipty
扬	ywfy
耳	euaa
芋	yhcy
共	gycb
芒	mwcw
亚	yiay
芝	vjcv
朽	xzmk
朴	pumb
朴	pgmb
朴	pmmb
机	jjmj
权	qomy
过	gszc
过	gpzc
臣	iska
吏	ltad
再	zoat
协	xsub
西	xjaa
压	ylit
压	yiit
厌	yaqi
戌	qawa
戌	xawa
在	zout
百	buab
有	yzuo
存	cfza
而	ekaa
页	yiab
匠	jekj
夸	ksdk
夺	dlcd
灰	htuh
达	duzd
列	lqdd
死	sgdb
成	ifwg
夹	glar
夹	jdar
夹	jcar
夷	ybdg
轨	gvij
邪	xsye
尧	yiwg
划	htgd
划	hggd
迈	mozw
毕	btub
至	vtvt
此	cgvb
贞	vebb
师	ujdj
尘	isxt
尖	jrxd
劣	lqlu
光	gwxw
当	duxx
当	ddxx
早	zxou
吁	xaky
吁	yaky
吁	yhky
吐	tmkt
吐	thkt
吓	hikx
吓	xxkx
虫	ijvd
曲	qaoa
曲	qmoa
团	tokc
吕	lskk
同	tjkk
同	tykk
吊	dlkj
吃	ijkq
因	yhkd
吸	xjkj
吗	mukm
吗	mmkm
吗	mlkm
吆	yqky
屿	ymuy
屹	ytuq
岁	sfux
帆	fnjf
回	hwkk
岂	qguj
则	zedb
刚	gudg
网	wpki
肉	rrkr
年	nvra
朱	vapw
先	xren
丢	dzps
廷	tnzr
舌	ueqk
竹	vlgg
迁	qrzq
乔	quyp
迄	qtzq
伟	wjrw
传	iorv
传	vcrv
乒	peqp
乓	pupd
休	xzrm
伍	wmrw
伏	flrq
优	yxry
臼	jopa
伐	furg
延	ypzv
仲	vyrv
件	jarn
任	rsrr
任	rorr
伤	uurl
价	jxrj
价	jkrj
伦	lfrl
份	forf
华	htuh
华	hguh
仰	ypry
仿	fprf
伙	hlrh
伪	wjrw
自	ztpo
伊	yjry
血	xcpm
血	xdpm
向	xepk
似	utry
似	stry
后	hrpk
行	hwxi
行	hfxi
行	xnxi
舟	vxpd
全	qorw
会	hfry
会	kfry
杀	ulim
合	glrk
合	herk
兆	vvdd
企	qgrv
众	vyrc
爷	yefe
伞	soru
创	iwdc
创	iedc
肌	jjoj
肋	lkol
朵	dljm
杂	zumj
危	wide
旬	xfog
旨	vgob
旭	xhjo
负	fhdb
匈	xpgx
名	mnxk
各	giwk
多	dsxx
争	vcdy
色	sidb
色	uudb
壮	veup
冲	ikdv
冲	iydv
妆	vwpn
冰	bedu
庄	vwgt
庆	qwgd
亦	ytdd
刘	lmwd
齐	qbwp
交	jmdf
衣	yjdd
次	ctdq
产	iowp
决	jidg
亥	howr
充	ikwy
妄	wdnw
闭	btmc
问	womk
闯	iumm
羊	ywda
并	beqc
并	bwqc
关	gdqd
米	mgdd
灯	dchd
州	vxda
汗	hpdg
汗	hadg
污	wadk
江	jydg
汛	xrdx
池	ibdy
汝	rmdn
汤	tudy
忙	mwxw
兴	xedb
兴	xwdb
宇	ymby
守	uzbc
宅	vdbt
字	ztbz
安	anbn
讲	juyj
讳	hfyw
军	jgbi
讶	yiyy
许	xmyw
讹	eeyh
论	lfyl
论	lryl
讼	syyg
农	njny
讽	fyyf
设	uiyu
访	fpyf
诀	jiyg
寻	xfxc
那	nlel
那	niel
迅	xrzx
尽	jxid
尽	jvid
导	dxsc
异	ytsc
弛	ibgy
孙	sgzx
阵	voei
阳	yweo
收	uxjw
阶	jkej
阴	yheo
防	fwef
奸	jrng
如	rlnk
妇	fhnx
妃	finj
好	hxnz
好	hvnz
她	tlny
妈	mlnm
戏	xtyg
羽	ymxx
观	gdyj
观	gcyj
欢	hdyq
买	muvt
红	hjsg
驮	dpmd
驮	tlmd
纤	qasq
纤	xrsq
驯	xrmi
约	yqsu
约	yusu
级	jbsj
纪	jgsj
纪	jtsj
驰	ibmy
纫	rosr
巡	xfzi
寿	urfc
弄	lywc
弄	nywc
麦	mofw
玖	jzwj
玛	mmwm
形	xnpk
进	jvzj
戒	jqgc
吞	tgkt
远	yszy
