𤭢	〔亠瓦ww〕
𰻝	〔辶心zx〕
嬢	〔女𠀎nf〕
薙	〔艹{隹右}cv〕
菈	〔艹立cl〕
卻	〔谷卩ge〕
濛	〔氵豕du〕
诶	〔讠矢yu〕
凃	〔冫朩dm〕
咲	〔口天kt〕
螓	〔虫禾ih〕
珮	〔𤣩巾wj〕
睆	〔目元oy〕
挼	〔扌女fn〕
嗯	〔口心kx〕
欸	〔厶欠sq〕
哟	〔口勺ku〕
唷	〔口⺝ko〕
育	〔亠⺝wo〕
啊	〔口可kk〕
阿	〔⻖可ek〕
吖	〔口丫ky〕
锕	〔钅可jk〕
腌	〔⺼电od〕
爱	〔爫又vy〕
艾	〔艹乂cx〕
哎	〔口乂kx〕
唉	〔口矢ku〕
哀	〔衣口yk〕
挨	〔扌矢fu〕
埃	〔土矢tu〕
矮	〔矢女un〕
碍	〔石寸uc〕
暧	〔日又oy〕
癌	〔疒山bu〕
蔼	〔艹人cr〕
隘	〔⻖皿em〕
皑	〔白己bj〕
霭	〔雨人yr〕
嗳	〔口又ky〕
嫒	〔女又ny〕
毐	〔士毋tm〕
叆	〔云又yy〕
瑷	〔𤣩又wy〕
砹	〔石乂ux〕
锿	〔钅口jk〕
嗌	〔口皿km〕
按	〔扌女fn〕
安	〔宀女bn〕
暗	〔日日oo〕
案	〔宀木bm〕
岸	〔山干ug〕
俺	〔亻电rd〕
黯	〔{里}日lo〕
庵	〔广电gd〕
鞍	〔革女gn〕
谙	〔讠日yo〕
氨	〔气女qn〕
胺	〔⺼女on〕
鹌	〔大鸟dn〕
桉	〔木女mn〕
犴	〔犭干qg〕
唵	〔口电kd〕
铵	〔钅女jn〕
埯	〔土电td〕
盦	〔𠆢皿rm〕
垵	〔土女tn〕
𩽾	〔鱼女yn〕
昂	〔日卩oe〕
肮	〔⺼几oj〕
盎	〔央皿ym〕
卬	〔丿卩pe〕
傲	〔亻攵rw〕
奥	〔丿大pd〕
熬	〔龶灬fh〕
敖	〔龶攵fw〕
澳	〔氵大dd〕
凹	〔丨一la〕
懊	〔忄大xd〕
嗷	〔口攵kw〕
拗	〔扌力fl〕
袄	〔衤夭py〕
鳌	〔龶鱼fy〕
翱	〔白习bx〕
獒	〔龶犬fq〕
骜	〔龶马fm〕
坳	〔土力tl〕
